feature,Description not found,3/31/01,6/30/01,9/30/01,12/31/01,3/31/02,6/30/02,9/30/02,12/31/02,3/31/03,6/30/03,9/30/03,12/31/03,3/31/04,6/30/04,9/30/04,12/31/04,3/31/05,6/30/05,9/30/05,12/31/05,3/31/06,6/30/06,9/30/06,12/31/06,3/31/07,6/30/07,9/30/07,12/31/07,3/31/08,6/30/08,9/30/08,12/31/08,3/31/09,6/30/09,9/30/09,12/31/09,3/31/10,6/30/10,9/30/10,12/31/10,3/31/11,6/30/11,9/30/11,12/31/11,3/31/12,6/30/12,9/30/12,12/31/12,3/31/13,6/30/13,9/30/13,12/31/13,3/31/14,6/30/14,9/30/14,12/31/14,3/31/15,6/30/15,9/30/15,12/31/15,3/31/16,6/30/16,9/30/16,12/31/16,3/31/17,6/30/17,9/30/17,12/31/17,3/31/18,6/30/18,9/30/18,12/31/18,3/31/19,6/30/19,9/30/19,12/31/19,3/31/20,6/30/20,9/30/20,12/31/20,3/31/21,6/30/21,9/30/21,12/31/21,3/31/22,6/30/22,9/30/22,12/31/22,3/31/23,6/30/23,9/30/23,12/31/23,3/31/24,6/30/24,9/30/24,12/31/24,3/31/25,6/30/25,9/30/25
RCFD2170,Total assets,553509000,563844000,575020000,551649000,540610000,562116000,576004000,565423000,574410000,656219000,624722850,617857587,690572545,706888184,740695499,771594340,838247353,1047545743,1057306654,1082250290,1104944125,1160260442,1185580956,1196123794,1204471773,1252402412,1290376229,1312794218,1355154455,1327429079,1359070851,1470276918,1432862003,1449558377,1460147344,1465221449,1496322329,1518957843,1489197995,1482278257,1451386720,1456637584,1471122588,1459157302,1448261695,1445093157,1448273067,1474077383,1458091000,1429737000,1438859000,1433716000,1457856000,1454742000,1524575000,1574093000,1599746000,1606232000,1616426000,1639305000,1653947000,1657878000,1659793000,1677490000,1707215000,1705928000,1725215000,1751524000,1765242000,1759530000,1797881000,1782639000,1775353000,1792891000,1812976000,1852983000,2031940000,2161656000,2157008000,2258832000,2316773000,2350294000,2400819000,2519525000,2513619000,2440022000,2407902000,2418508000,2518290000,2449804000,2465234000,2540116000,2550363000,2550584000,2565878000,2589060000,2615296000,2665555000,2651090000
RCON6631,Noninterest-bearing,99230000,105056000,100085000,113743000,109453000,101273000,117973000,123219000,121461000,133497000,123289050,119385447,122086839,122863161,126836966,134010783,137778000,176773245,176720126,181518995,177644543,175012705,171073248,182936874,176232353,173645923,166260789,182601534,185592626,189640982,192205413,217976050,237668660,250382478,251321624,277340456,264606619,271281136,278184614,294866981,300587738,314705406,334848229,345343425,350422274,366747761,381153728,387132383,370676000,365054000,389565000,389809000,389832000,402638000,397773000,405759000,423994000,422887000,439310000,451394000,443725000,430431000,448659000,464282000,463939000,476481000,481630000,463296000,469555000,466110000,461304000,457058000,426624000,428686000,416695000,444967000,560667000,673661000,715038000,750807000,773784000,793480000,821017000,864242000,846528000,805390000,760234000,712379000,682109000,640015000,601232000,595871000,584913000,570142000,545722000,562296000,561660000,574834000,566261000
RCFD3190,. 16. Other borro wed mone y (includes mor tgage indebtedness and ob ligations under capitaliz ed,35821000,32817000,18046000,16601000,16906000,22886000,25333000,17955000,15528000,27857000,27562018,25745531,36315002,37059986,30684999,30763752,42293009,47791797,49962395,58743774,42949218,68195307,75428972,80371603,87101100,94493568,120448204,102793792,115120310,94597272,85137278,110928381,142862980,119828292,110301869,116903240,130542083,111605808,90848278,71987225,67710694,60463273,47192046,47391090,45307189,39536551,37585287,32738338,41274000,49350000,42518000,47976000,59847000,58815000,47450000,55780000,56491000,67987000,60682000,58203000,55335000,56495000,50750000,44507000,64764000,58518000,54865000,56080000,57446000,64389000,59609000,46609000,45219000,53861000,66891000,41772000,44630000,26362000,23558000,23800000,22693000,23374000,21263000,19865000,18818000,18692000,19036000,24735000,56413000,47530000,66763000,63163000,63466000,65115000,65986000,62335000,66923000,65596000,84439000
RCFD3000,Minor ity interest in consolidated subsidiaries,1364000,243000,657000,687000,709000,760000,758000,755000,598000,889000,892696,953895,1089914,1252688,1301438,1373343,1438210,1575394,1625169,1660752,1680152,1737882,1774729,1820684,1822466,1843269,1766144,1783796,1793088,1705962,1719058,496768,427350,391396,409838,526943,525590,526125,428402,8488305,421808,417256,415522,380241,364470,356357,355284,40734,40000,40000,40000,40000,18000,19000,19000,10000,10000,10000,10000,9000,9000,9000,10000,10000,10000,10000,9000,9000,9000,9000,9000,10000,10000,10000,10000,10000,10000,10000,10000,10000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCFD2948,Total liabilities,501040000,512335000,521857000,498364250,491194000,511454000,524835000,513429000,524393000,605592000,575262468,567797811,639830626,655629114,687080837,716533847,780663723,943917989,954036132,978166855,1000820651,1056180417,1073326929,1084776706,1093847519,1141965731,1179831434,1202530204,1242214842,1216984464,1243581785,1336942149,1297138898,1299166371,1296941861,1298530760,1328077530,1349137652,1318787496,1302464744,1277175884,1280325276,1291051267,1281297032,1271951505,1265806391,1267839106,1296579018,1278717000,1252047000,1258349000,1254983000,1277737000,1272042000,1342483000,1371723000,1396235000,1404838000,1413741000,1437792000,1445797000,1447814000,1448207000,1471281000,1502146000,1498943000,1516175000,1543740000,1559529000,1554209000,1593308000,1574911000,1565258000,1580291000,1601338000,1640825000,1824468000,1951650000,1943133000,2040217000,2096341000,2124998000,2172437000,2283098000,2284227000,2209100000,2178965000,2193059000,2285819000,2219795000,2236225000,2303910000,2313030000,2311228000,2322190000,2343578000,2368372000,2415015000,2399523000
RCFD1754,Held-to-maturity securities,1131000,1116000,1102000,1036000,1029000,1012000,1003000,1014000,915000,262000,504452,229075,226328,17293,13572,10981,8647,169083,132396,47268,74097,60675,56483,40579,925669,994687,518196,491265,862250,1265327,1246557,681984,415408,2066635,2367332,3018788,90161,182689,181306,181305,181291,180695,26458178,35265406,34205133,35167513,39897926,49480678,49577000,54922000,54649000,55150000,55120000,60022000,60175000,59766000,59815000,60072000,66573000,84625000,97978000,102279000,112409000,117071000,116033000,119008000,122345000,125013000,123539000,163013000,194472000,203157000,198351000,199877000,189918000,214725000,254190000,268678000,338365000,438278000,575995000,651394000,683054000,674513000,672135000,658204000,643664000,632784000,624446000,614066000,603303000,594550000,586858000,577361000,567548000,558672000,550714000,541279000,531408000
RCFD2160,Other assets,38484000,35087000,47348000,46799000,35602000,34986000,37830000,37221000,38268000,44886000,59019429,43493702,43780888,40878356,45314158,48209100,50484710,56042237,54626596,58042644,60612411,57100821,97786380,61890287,58686116,61902658,66809525,62777263,70735135,60743191,61408898,95563530,97070405,104519377,126683405,114842592,126603382,129389611,122687454,116719601,130831804,111925340,117911854,106336929,103728522,94274343,91177905,101004501,84827000,85508000,84312000,76395000,81284000,72511000,73772000,73463000,74823000,71537000,71081000,68724000,63346000,65528000,64619000,81589000,79453000,65088000,63386000,65039000,65074000,65259000,63120000,64468000,63976000,64842000,63317000,63095000,76559000,67518000,67650000,71809000,69513000,73956000,74005000,75457000,74344000,78031000,76526000,74925000,83776000,82239000,80594000,84932000,82395000,84517000,84106000,83213000,90063000,88128000,93294000
RCFD2130,Investment in unconsolidated subsidiaries and associated companies,533000,526000,570000,563000,564000,557000,521000,470000,385000,370000,367350,396145,534894,2277776,2555380,2621029,2730259,3826916,3830505,4275638,4335759,4686061,4829516,5193122,5242666,4819363,5035091,5407307,5383911,5818809,5779048,6163280,5993703,6031029,6081064,6375965,6009924,5919356,5853695,5822801,5759287,6355032,5620473,5550999,5582210,5550120,5533854,5506807,5399000,5387000,5458000,5569000,5537000,5487000,5406000,4156000,4118000,4077000,4053000,4047000,3973000,3946000,3955000,3964000,4025000,3934000,3895000,4009000,4079000,4014000,3932000,4011000,2798000,2787000,754000,741000,650000,615000,35000,15000,15000,15000,15000,11923000,12077000,11814000,11604000,13141000,13358000,13306000,13131000,13807000,13344000,13050000,12816000,12550000,12082000,11408000,11135000
RCFDB529,".d. d. Loans and leases , net of unearned income and allowance (item .b minus .c) .........",360121000,357639000,312328000,299881000,299777000,311807000,311432000,313631000,312642000,330034000,339393184,337945547,337495435,341366410,354829317,371282283,385029346,491514006,514592774,534396992,551739777,593755151,591781495,616545154,607168827,633422163,629009881,639967921,651301213,643131007,642933196,684379904,648611270,686977580,685655104,696680506,688700681,683042365,674532400,685081974,698306598,712548160,722851919,719090142,701073814,693197259,704703396,724615103,734367000,757712000,767428000,763683000,755090000,750975000,735715000,833032000,833518000,845114000,843657000,860725000,866170000,869780000,873991000,870463000,870228000,881869000,894011000,904175000,902295000,904499000,900674000,920272000,919523000,938881000,949593000,960445000,1021867000,971411000,929252000,901741000,875680000,895567000,902142000,952017000,970913000,1007712000,1009322000,1022983000,1023753000,1029594000,1028593000,1030891000,1025894000,1034387000,1054194000,1074977000,1088613000,1124336000,1141463000
RCFD5369,Loans and leases held for sale,5678000,7311000,26428000,8350000,6528000,6103000,8951000,13560000,14987000,17201000,11667296,8624928,12772993,8475033,7354677,7476554,8720355,13227530,15074540,12724056,20559645,19268796,26471965,17949558,34675452,30352446,29823320,29400518,28984238,22148769,16692774,16825059,17149500,41144154,31001324,35150563,27439656,30693086,25463935,28644995,19788649,14756174,11279800,7856557,9060274,9746614,12854326,14319262,16448000,12189000,12544000,8665000,10212000,8587000,7393000,12350000,9514000,6712000,8677000,7040000,5792000,8427000,10231000,8735000,14395000,5591000,12935000,11192000,8886000,6291000,5302000,10065000,6007000,5178000,9594000,8938000,7678000,7200000,4259000,9053000,7731000,8034000,9181000,15410000,10063000,6477000,7462000,6716000,6657000,6638000,7449000,5861000,8441000,6935000,10243000,9457000,6778000,5307000,6740000
RCFD3123,Allowance for loan and leases losses,6468000,6453000,6184000,5936000,5929000,5669000,5597000,5609000,5696000,5602000,5344221,4629046,4359041,4393769,4256423,3985733,3888438,5191251,4966675,4586074,4526933,4478592,4323567,4066067,3795394,3799485,4000574,4645039,6589662,8341242,9247050,11115206,13602903,20221504,22923760,23969536,25481070,25633664,24636635,24446049,24899301,24914663,24209269,23903519,23303993,22137677,18661616,17063054,15680000,14957000,13427000,11963000,11338000,10964000,10492000,14051000,13308000,12723000,12363000,11959000,11822000,11598000,11460000,11021000,10894000,10686000,10524000,10237000,10109000,9918000,9631000,9522000,9511000,9478000,9392000,9384000,15741000,19362000,19566000,18779000,16153000,14084000,13144000,12368000,12073000,11942000,12275000,12651000,12495000,12913000,13242000,13278000,13165000,13209000,13228000,13219000,13243000,13278000,13236000
RCFD3632,Retained ear nings,15363000,16012000,15230000,17027593,13122000,13452000,13833000,14114000,13203000,13530000,14009093,15281096,15932260,16786635,18018093,19577314,21891887,24700670,25755881,27418543,28552049,30331393,32349987,31978059,30973177,33010776,31755966,29940139,29230085,29297181,29707039,26927834,25439745,27410967,27286050,26612424,27563827,26222239,27616799,30603561,29285068,29795608,30763704,30278689,29038825,30481364,29499324,28519245,33676000,35045000,36903000,36952000,37121000,37383000,37847000,31039000,30830000,31088000,30674000,31322000,35036000,35737000,37627000,37288000,36250000,37497000,36597000,35895000,38774000,39381000,39715000,40005000,47355000,47501000,45875000,46386000,37188000,39517000,43100000,47988000,50750000,54366000,57925000,58706000,59536000,64348000,67879000,64120000,68585000,68191000,68302000,70893000,72303000,73910000,74667000,77290000,77023000,79240000,79226000
RCFN6636,Interest-bearing,53628000,62744000,56574000,54792000,46946000,46272000,45162000,42613000,49589000,51559000,41513569,50696679,81263657,77243906,87668698,87552040,94876192,102125303,107342405,113391567,126166460,129760523,134205355,152254601,155619922,175735550,170618215,160965187,144187025,160732292,170477681,195872092,178083875,186945556,192293430,167405113,172884220,174272686,197513772,195452249,194551663,108014484,109319534,100923756,108639907,64494562,67903733,66609555,64937000,65863000,70074000,71915000,74193000,74266000,66794000,61920000,61973000,65101000,65315000,67339000,72600000,80823000,74061000,65092000,63903000,68372000,67278000,70986000,71690000,64961000,77400000,68175000,67492000,71264000,71696000,79029000,77995000,75938000,75982000,90496000,80505000,88804000,79267000,89748000,79938000,82399000,78911000,91296000,93146000,93369000,93663000,104716000,100749000,101179000,107318000,111687000,112909000,119009000,121733000
RCFD3545,Trading assets,44301000,45223000,54141000,45149000,52265000,64830000,64287000,66439000,69409000,75785000,71669787,72307201,76175686,76552509,92324718,74530033,93971057,99755158,90000853,91479043,86164011,97848261,102288569,105287589,120333363,133323017,131006607,121808574,139689232,110930638,130646697,130519836,94902251,67785888,77887004,61191062,62654028,64856404,68382218,66969589,61115026,54485747,66501071,63373297,67029809,77954029,81879113,87319703,120390000,106805000,85671000,89265000,84233000,86274000,84584000,83922000,87040000,80218000,76199000,67757000,75057000,75765000,75886000,73139000,76708000,88220000,76729000,87316000,83475000,94076000,99175000,77357000,83339000,83871000,85408000,77464000,80071000,88618000,110007000,69139000,121644000,112612000,106167000,85703000,143553000,146371000,148307000,137739000,127304000,111097000,107654000,91535000,104959000,105408000,112377000,114329000,126097000,126147000,119717000
