feature,Description not found,3/31/01,6/30/01,9/30/01,12/31/01,3/31/02,6/30/02,9/30/02,12/31/02,3/31/03,6/30/03,9/30/03,12/31/03,3/31/04,6/30/04,9/30/04,12/31/04,3/31/05,6/30/05,9/30/05,12/31/05,3/31/06,6/30/06,9/30/06,12/31/06,3/31/07,6/30/07,9/30/07,12/31/07,3/31/08,6/30/08,9/30/08,12/31/08,3/31/09,6/30/09,9/30/09,12/31/09,3/31/10,6/30/10,9/30/10,12/31/10,3/31/11,6/30/11,9/30/11,12/31/11,3/31/12,6/30/12,9/30/12,12/31/12,3/31/13,6/30/13,9/30/13,12/31/13,3/31/14,6/30/14,9/30/14,12/31/14,3/31/15,6/30/15,9/30/15,12/31/15,3/31/16,6/30/16,9/30/16,12/31/16,3/31/17,6/30/17,9/30/17,12/31/17,3/31/18,6/30/18,9/30/18,12/31/18,3/31/19,6/30/19,9/30/19,12/31/19,3/31/20,6/30/20,9/30/20,12/31/20,3/31/21,6/30/21,9/30/21,12/31/21,3/31/22,6/30/22,9/30/22,12/31/22,3/31/23,6/30/23,9/30/23,12/31/23,3/31/24,6/30/24,9/30/24,12/31/24,3/31/25,6/30/25,9/30/25
RCON2200,In domestic offices,315692000,319067000,316611000,334909000,335591000,326230000,346588000,354961000,363927000,388958000,379211039,381959318,390231235,399236991,416218053,439066856,446780450,576962146,567947642,565906783,570413638,563906844,581432697,602019002,602128793,596584927,595780133,629150976,645019922,642252215,672067377,754919971,765475336,817989321,807177514,831397678,824168960,828928319,820503805,837555815,848926338,948680150,972855736,972011121,975418440,991685005,1011150242,1045280007,1039408000,1019084000,1041630000,1034845000,1044900000,1046212000,1128503000,1143477000,1170895000,1169569000,1186746000,1213734000,1213727000,1204486000,1226038000,1260061000,1273468000,1270151000,1297138000,1301404000,1324768000,1312701000,1345197000,1374069000,1360109000,1353687000,1360085000,1402827000,1577444000,1729101000,1719160000,1797272000,1855921000,1871213000,1926946000,2025967000,2040696000,1964041000,1931589000,1929333000,1903082000,1879161000,1868639000,1909516000,1929388000,1901769000,1892511000,1926068000,1942170000,1975044000,1956667000
RCFD3230,Common stoc k,2833000,2834000,2834000,2835000,2834000,2834000,2834000,2834000,2834000,2834000,2834185,2834186,2834185,2834185,2834186,2834185,2834186,2836395,2836395,2836395,2836395,2836395,2878895,2878894,2878894,2878894,2878894,2878894,2893890,2893890,2893890,3020039,3020039,3020043,3020043,3020043,3020043,3020043,3020043,3020043,3020043,3020043,3020043,3020043,3020043,3020043,3020043,3020043,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000,3020000
RCFN2200,"In foreign offices , Edge and Ag reement subsidiaries, and IBFs",55332000,65053000,58410000,56634000,49659000,48988000,47061000,44693000,51802000,53807000,44091676,53680007,83947898,81257264,90540359,90599244,97519662,108045183,113713417,120741740,132947595,137506901,139259981,157581623,158703443,179570147,176171799,164420993,147859090,164278732,174163168,199757609,181521484,190396785,195531469,171294659,176469967,178064141,201220188,200614834,198086971,111802314,113294940,105165655,112851935,70588620,72442509,72342289,71035000,71833000,76626000,79258000,82081000,82021000,74343000,69642000,69327000,73471000,73980000,77437000,83953000,92345000,86416000,73971000,74563000,79085000,75999000,85357000,85644000,79378000,90490000,82777000,79732000,87429000,86854000,95027000,92888000,91411000,91465000,109186000,103965000,114859000,105808000,118410000,109627000,111315000,102794000,112922000,112299000,112300000,111038000,122263000,118769000,117117000,125309000,129397000,129454000,134217000,138065000
RCFD2930,Other liabilities,18396000,20229000,41315000,26319250,23156000,35108000,25222000,16365000,16916000,26000000,38465536,22769281,15753262,15241809,15256133,24695460,22018150,29345343,27449353,26689545,28828959,27600165,33007304,32694380,30770707,34242409,36972228,36466408,38614593,29339639,32926823,30295320,21563717,35430731,29713120,25250252,26793522,36294579,32102724,29375840,22989660,30094561,32568529,31045555,28338643,25374938,32664454,27123256,22208000,34908000,23928000,20489000,26435000,24630000,24039000,26857000,25796000,24620000,23770000,21762000,23612000,24698000,24808000,29452000,29973000,27767000,24685000,24207000,24198000,26912000,27875000,24660000,26526000,28675000,27499000,41455000,41675000,38749000,45737000,45435000,53159000,46553000,45756000,46404000,42350000,41982000,40821000,42417000,41508000,41661000,41214000,45818000,46554000,48813000,47335000,42927000,44251000,45497000,45989000
RCFD2145,Premises and fix ed assets (including capitaliz ed leases),6124000,6131000,6133000,6155000,6099000,6072000,6069000,6028000,5949000,5211000,5281117,5382898,5435718,5444518,5438566,5380451,5420661,6747137,6799191,6940310,7056776,7146665,7106393,7279360,7352057,7638779,7862768,8372089,8787484,9147081,9469782,11362837,11442974,11555828,11462298,11561007,11589829,11282797,11120128,11154486,11032483,10872775,10733114,10963375,10444346,10253110,10124419,10147374,9496000,9292000,9163000,8943000,8822000,8615000,8510000,9080000,9044000,9087000,8983000,8927000,8803000,8638000,8631000,8629000,8796000,8381000,8466000,8737000,8878000,9050000,9201000,9418000,17902000,18397000,18429000,18486000,19116000,19068000,19172000,19477000,19046000,19410000,19304000,19252000,19165000,19151000,19008000,19397000,19403000,19301000,19352000,19363000,19157000,18913000,19186000,19230000,19309000,19068000,19006000
RCFD0071,Interest-bearing balances,3325000,2074000,2251000,3176000,4566000,3721000,4177000,3632000,3151000,4440000,4599619,5065265,5136744,7062819,7473396,8345169,8354964,6442919,6229691,7620816,8306318,11552938,14973502,16328212,11172018,10871009,10327778,12819413,12359735,13324915,17709801,15385499,124559177,72685596,125895798,97352067,116943837,126810181,107087368,87305691,54704826,73168321,59489338,95780913,115815164,114811678,91349371,88003829,72716000,52424000,80643000,76481000,101999000,104722000,176185000,101164000,124915000,123827000,135680000,122412000,143432000,127784000,105134000,108891000,127456000,122534000,130153000,123834000,168342000,134239000,149659000,135527000,133477000,132835000,123413000,123440000,204721000,236916000,247221000,321807000,271995000,209462000,233740000,296971000,223251000,150178000,168391000,188104000,340562000,332019000,316324000,297606000,280252000,285510000,258488000,248887000,233237000,220983000,210912000
RCFD3548,Trading liabilities,38811000,29824000,37462000,29962000,31992000,38973000,43034000,41064000,37964000,42441000,44215689,41244957,40866777,33989074,37758163,37572940,44554918,52980371,38851691,39781150,40570435,47351786,48900415,52424152,60999495,64784945,81200048,78287459,94016778,74184349,79003513,70746999,49127970,26294869,31848361,30932253,29537828,42169423,38925822,35233803,32332659,31429016,40142319,44156187,33206749,40184413,37098930,35192257,38877000,33031000,28022000,33971000,25698000,26007000,30820000,35692000,38507000,31023000,31782000,31038000,33225000,37539000,30110000,32203000,33508000,34011000,35958000,39393000,35499000,38372000,43819000,26773000,29631000,29097000,25668000,26947000,37392000,27603000,24531000,27235000,35307000,35161000,32788000,31445000,37027000,27721000,36132000,34692000,29893000,33878000,33593000,35441000,33622000,30866000,34539000,36141000,32228000,38273000,43848000
RCFD2150,Other real estate o wned,321000,379000,431000,430000,412000,319000,304000,286000,286000,302000,276603,147391,571033,122397,109115,77251,81258,110431,95233,89027,90981,72381,74339,67606,87618,105922,189112,259108,406227,508321,761934,1218556,1254714,1538727,1638087,1904022,2874270,3448591,3414861,3125345,3201172,3476194,3589998,3674512,3067901,2501993,3461037,3267735,2973000,2110000,2135000,1947000,1657000,1584000,1692000,1704000,802000,735000,474000,409000,380000,388000,359000,382000,345000,314000,281000,285000,321000,316000,331000,357000,349000,315000,305000,342000,333000,270000,227000,204000,371000,374000,368000,313000,328000,313000,308000,296000,283000,260000,229000,192000,187000,268000,236000,184000,157000,157000,152000
RCFD3300,"Total liabilities , minor ity interest, and equity capital",553509000,563844000,575020000,551649000,540610000,562116000,576004000,565423000,574410000,656219000,624722850,617857587,690572545,706888184,740695499,771594340,838247354,1047545743,1057306654,1082250290,1104944125,1160260442,1185580956,1196123794,1204471773,1252402412,1290376229,1312794218,1355154455,1327429079,1359070851,1470276918,1432862003,1449558377,1460147344,1465221449,1496322329,1518957843,1489197995,1482278257,1451386720,1456637584,1471122588,1459157302,1448261695,1445093157,1448273067,1474077383,1458091000,1429737000,1438859000,1433716000,1457856000,1454742000,1524575000,1574093000,1599746000,1606232000,1616426000,1639305000,1653947000,1657878000,1659793000,1677490000,1707215000,1705928000,1725215000,1751524000,1765242000,1759530000,1797881000,1782639000,1775353000,1792891000,1812976000,1852983000,2031940000,2161656000,2157008000,2258832000,2316773000,2350294000,2400819000,2519525000,2513619000,2440022000,2407902000,2418508000,2518290000,2449804000,2465234000,2540116000,2550363000,2550584000,2565878000,2589060000,2615296000,2665555000,2651090000
RCFDB528,"Loans and leases , net of unearned income",366589000,364092000,318512000,305817000,305706000,317476000,317029000,319240000,318338000,335636000,344737405,342574593,341854476,345760179,359085740,375268016,388917784,496705257,519559449,538983066,556266710,598233743,596105062,620611221,610964221,637221648,633010455,644612960,657890875,651472249,652180246,695495110,662214173,707199084,708578864,720650042,714181751,708676029,699169035,709528023,723205899,737462823,747061188,742993661,724377807,715334936,723365012,741678157,750047000,772669000,780855000,775646000,766428000,761939000,746207000,847083000,846826000,857837000,856020000,872684000,877992000,881378000,885451000,881484000,881122000,892555000,904535000,914412000,912404000,914417000,910305000,929794000,929034000,948359000,958985000,969829000,1037608000,990773000,948818000,920520000,891833000,909651000,915286000,964385000,982986000,1019654000,1021597000,1035634000,1036248000,1042507000,1041835000,1044169000,1039059000,1047596000,1067422000,1088196000,1101856000,1137614000,1154699000
