mdrm_code,name,03/31/2001,06/30/2001,09/30/2001,12/31/2001,03/31/2002,06/30/2002,09/30/2002,12/31/2002,03/31/2003,06/30/2003,09/30/2003,12/31/2003,03/31/2004,06/30/2004,09/30/2004,12/31/2004,03/31/2005,06/30/2005,09/30/2005,12/31/2005,03/31/2006,06/30/2006,09/30/2006,12/31/2006,03/31/2007,06/30/2007,09/30/2007,12/31/2007,03/31/2008,06/30/2008,09/30/2008,12/31/2008,03/31/2009,06/30/2009,09/30/2009,12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/30/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024,12/31/2024,03/31/2025,06/30/2025,09/30/2025
RCFDB559,Loans and leases net of unearned income,30913000.0,36039000.0,40891000.0,54958000.0,59417000.0,53898000.0,64481000.0,72542000.0,57941000.0,85882000.0,55173045.0,50972191.0,88538247.0,127886880.0,137601668.0,137132745.0,166465592.0,200430687.0,198322939.0,193107682.0,209484919.0,216021078.0,208871721.0,162329398.0,161823518.0,158117813.0,153272260.0,164118613.0,174122145.0,190248188.0,209968137.0,221539540.0,191789865.0,167960343.0,169070112.0,190082092.0,220930088.0,223161054.0,236368805.0,252397364.0,252738609.0,254971247.0,257349659.0,250945273.0,256233870.0,273794995.0,282533491.0,284470234.0,272456000.0,261661000.0,266526000.0,260303000.0,253310000.0,243860000.0,240005000.0,244301000.0,254170000.0,264452000.0,284539000.0,319856000.0,325057000.0,330818000.0,329864000.0,327750000.0,329178000.0,329480000.0,331988000.0,340211000.0,337291000.0,337252000.0,345453000.0,341484000.0,334643000.0,336265000.0,336209000.0,343315000.0,338623000.0,341141000.0,386854000.0,474154000.0,535084000.0,611853000.0,633728000.0,636181000.0,618624000.0,593263000.0,559586000.0,543787000.0,533959000.0,523722000.0,512165000.0,507808000.0,513399000.0,508529000.0,507018000.0,502478000.0,501894000.0,494025000.0,486330000.0
RCFDA127,Allowance for loan and lease losses,956159000.0,964040000.0,955859000.0,898410000.0,908495000.0,944297000.0,929203000.0,1036176000.0,1078761000.0,1476275000.0,1268701143.0,1274556387.0,1384831574.0,1421268475.0,1474893949.0,1503884926.0,1504683883.0,1691937766.0,1730292211.0,1645557737.0,1880254626.0,2286470596.0,2328852276.0,2405865369.0,2545385924.0,2803195228.0,2773503837.0,2684716973.0,2801318342.0,2783623611.0,2708260211.0,2149059475.0,1876335905.0,1906623189.0,2123259657.0,2240063347.0,2750091779.0,3208747976.0,3981812211.0,3870331789.0,6611076001.0,4729355206.0,4374124071.0,3956401706.0,4144496058.0,4248624973.0,4434210235.0,4387343499.0,4310066000.0,4300543000.0,4238708000.0,4266008000.0,4765327000.0,5013027000.0,5894546000.0,5654184000.0,5663532000.0,5670167000.0,5399037000.0,5032453000.0,5056406000.0,5226490000.0,4335568000.0,3827755000.0,4529375000.0,4489449000.0,4650842000.0,4019918000.0,4906108000.0,5217152000.0,4529221000.0,4400192000.0,5024646000.0,4946882000.0,5163898000.0,4130415000.0,4668216000.0,4338296000.0,4277356000.0,3949154000.0,4913045000.0,4593251000.0,4651699000.0,4456742000.0,5299216000.0,4887685000.0,4997733000.0,4757031000.0,5256793000.0,5455363000.0,5704002000.0,4723916000.0,5938997000.0,6179969000.0,6937619000.0,5994321000.0,6872842000.0,7434880000.0,7359826000.0
RCFDB560,Loans and leases net,9078000.0,8732000.0,8993000.0,11300000.0,8974000.0,8188000.0,7508000.0,7312000.0,6489000.0,6352000.0,8680870.0,8421342.0,11706027.0,11630981.0,12554536.0,13988699.0,17428539.0,24239592.0,26167171.0,25856718.0,27386058.0,31275465.0,30966055.0,29992193.0,26851574.0,25168215.0,27614796.0,33608154.0,38734616.0,40631496.0,39368386.0,49465057.0,45669934.0,44112790.0,41134554.0,38658538.0,40707713.0,28596178.0,25564104.0,23248734.0,21788668.0,17322024.0,18355453.0,23088329.0,21094467.0,17724424.0,17346215.0,18061349.0,17662000.0,17450000.0,19686000.0,23016000.0,26177000.0,25258000.0,25102000.0,26036000.0,24605000.0,24353000.0,26045000.0,27032000.0,29638000.0,30147000.0,29758000.0,31318000.0,32695000.0,32966000.0,32498000.0,31146000.0,31071000.0,29778000.0,28581000.0,29485000.0,30691000.0,30984000.0,30264000.0,31856000.0,32904000.0,36174000.0,36054000.0,34896000.0,34208000.0,32959000.0,31290000.0,29015000.0,30974000.0,31759000.0,31553000.0,31124000.0,33452000.0,32771000.0,34607000.0,39234000.0,40873000.0,40253000.0,42403000.0,43537000.0,43232000.0,46039000.0,47990000.0
RCFD3163,Premises and fixed assets,10238000.0,10122000.0,9310000.0,9162000.0,9258000.0,9258000.0,9697000.0,9697000.0,9680000.0,9680000.0,9679876.0,9678876.0,9677321.0,9668050.0,9668050.0,10270672.0,10412951.0,40479969.0,40396623.0,40400712.0,40454538.0,40433819.0,41561541.0,41575069.0,41586077.0,41731564.0,41778913.0,40747022.0,42466952.0,42460917.0,42459131.0,53368345.0,53368318.0,56823234.0,57173234.0,57347715.0,57347715.0,56867193.0,57068185.0,57224908.0,57226708.0,57226708.0,57226708.0,57226708.0,57226708.0,57226708.0,57226708.0,57226708.0,57227000.0,57227000.0,57244000.0,57244000.0,57244000.0,57244000.0,57244000.0,57244000.0,57244000.0,57244000.0,57244000.0,57244000.0,57244000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57227000.0,57299000.0,57299000.0,57344000.0,57344000.0,57344000.0,57344000.0,57344000.0,57344000.0,57344000.0,57344000.0,57344000.0,57344000.0,57344000.0,57344000.0,57344000.0,57344000.0,57344000.0,57344000.0
RCFD2130,Other real estate owned,533000.0,526000.0,570000.0,563000.0,564000.0,557000.0,521000.0,470000.0,385000.0,370000.0,367350.0,396145.0,534894.0,2277776.0,2555380.0,2621029.0,2730259.0,3826916.0,3830505.0,4275638.0,4335759.0,4686061.0,4829516.0,5193122.0,5242666.0,4819363.0,5035091.0,5407307.0,5383911.0,5818809.0,5779048.0,6163280.0,5993703.0,6031029.0,6081064.0,6375965.0,6009924.0,5919356.0,5853695.0,5822801.0,5759287.0,6355032.0,5620473.0,5550999.0,5582210.0,5550120.0,5533854.0,5506807.0,5399000.0,5387000.0,5458000.0,5569000.0,5537000.0,5487000.0,5406000.0,4156000.0,4118000.0,4077000.0,4053000.0,4047000.0,3973000.0,3946000.0,3955000.0,3964000.0,4025000.0,3934000.0,3895000.0,4009000.0,4079000.0,4014000.0,3932000.0,4011000.0,2798000.0,2787000.0,754000.0,741000.0,650000.0,615000.0,35000.0,15000.0,15000.0,15000.0,15000.0,11923000.0,12077000.0,11814000.0,11604000.0,13141000.0,13358000.0,13306000.0,13131000.0,13807000.0,13344000.0,13050000.0,12816000.0,12550000.0,12082000.0,11408000.0,11135000.0
RCFD2160,Investments in unconsolidated subsidiaries,38484000.0,35087000.0,47348000.0,46799000.0,35602000.0,34986000.0,37830000.0,37221000.0,38268000.0,44886000.0,59019429.0,43493702.0,43780888.0,40878356.0,45314158.0,48209100.0,50484710.0,56042237.0,54626596.0,58042644.0,60612411.0,57100821.0,97786380.0,61890287.0,58686116.0,61902658.0,66809525.0,62777263.0,70735135.0,60743191.0,61408898.0,95563530.0,97070405.0,104519377.0,126683405.0,114842592.0,126603382.0,129389611.0,122687454.0,116719601.0,130831804.0,111925340.0,117911854.0,106336929.0,103728522.0,94274343.0,91177905.0,101004501.0,84827000.0,85508000.0,84312000.0,76395000.0,81284000.0,72511000.0,73772000.0,73463000.0,74823000.0,71537000.0,71081000.0,68724000.0,63346000.0,65528000.0,64619000.0,81589000.0,79453000.0,65088000.0,63386000.0,65039000.0,65074000.0,65259000.0,63120000.0,64468000.0,63976000.0,64842000.0,63317000.0,63095000.0,76559000.0,67518000.0,67650000.0,71809000.0,69513000.0,73956000.0,74005000.0,75457000.0,74344000.0,78031000.0,76526000.0,74925000.0,83776000.0,82239000.0,80594000.0,84932000.0,82395000.0,84517000.0,84106000.0,83213000.0,90063000.0,88128000.0,93294000.0
RCFD2168,Goodwill,31989000.0,27664000.0,39852000.0,40225000.0,30868000.0,30356000.0,33346000.0,33169000.0,34273000.0,40482000.0,54954506.0,39499908.0,39417995.0,36478642.0,40807055.0,43425493.0,45299421.0,48476064.0,46635300.0,49827528.0,38708265.0,35025242.0,74879594.0,38704702.0,35938339.0,38953878.0,41726157.0,37524213.0,45660569.0,35653755.0,35619614.0,64403518.0,66916989.0,71604919.0,96985776.0,83079633.0,93805402.0,96820009.0,86902957.0,86333150.0,100677277.0,78728150.0,85767101.0,72939255.0,71031953.0,63951979.0,62083310.0,72910649.0,56648000.0,54277000.0,55104000.0,44728000.0,49811000.0,42419000.0,43852000.0,37877000.0,40654000.0,35696000.0,37596000.0,34012000.0,32248000.0,34895000.0,33835000.0,48920000.0,46004000.0,32095000.0,30664000.0,32473000.0,30704000.0,30735000.0,28878000.0,31441000.0,31154000.0,31876000.0,30640000.0,30524000.0,43903000.0,35288000.0,35014000.0,38943000.0,35842000.0,38950000.0,38958000.0,40045000.0,38652000.0,41813000.0,39114000.0,36353000.0,44556000.0,42814000.0,40022000.0,44649000.0,41198000.0,43489000.0,43552000.0,43030000.0,49456000.0,47194000.0,52189000.0
RCFD2170,Other assets,553509000.0,563844000.0,575020000.0,551649000.0,540610000.0,562116000.0,576004000.0,565423000.0,574410000.0,656219000.0,624722850.0,617857587.0,690572545.0,706888184.0,740695499.0,771594340.0,838247353.0,1047545743.0,1057306654.0,1082250290.0,1104944125.0,1160260442.0,1185580956.0,1196123794.0,1204471773.0,1252402412.0,1290376229.0,1312794218.0,1355154455.0,1327429079.0,1359070851.0,1470276918.0,1432862003.0,1449558377.0,1460147344.0,1465221449.0,1496322329.0,1518957843.0,1489197995.0,1482278257.0,1451386720.0,1456637584.0,1471122588.0,1459157302.0,1448261695.0,1445093157.0,1448273067.0,1474077383.0,1458091000.0,1429737000.0,1438859000.0,1433716000.0,1457856000.0,1454742000.0,1524575000.0,1574093000.0,1599746000.0,1606232000.0,1616426000.0,1639305000.0,1653947000.0,1657878000.0,1659793000.0,1677490000.0,1707215000.0,1705928000.0,1725215000.0,1751524000.0,1765242000.0,1759530000.0,1797881000.0,1782639000.0,1775353000.0,1792891000.0,1812976000.0,1852983000.0,2031940000.0,2161656000.0,2157008000.0,2258832000.0,2316773000.0,2350294000.0,2400819000.0,2519525000.0,2513619000.0,2440022000.0,2407902000.0,2418508000.0,2518290000.0,2449804000.0,2465234000.0,2540116000.0,2550363000.0,2550584000.0,2565878000.0,2589060000.0,2615296000.0,2665555000.0,2651090000.0
RCFD2122,Total assets,372267000.0,371403000.0,344940000.0,314167000.0,312234000.0,323579000.0,325980000.0,332800000.0,333325000.0,352837000.0,356404701.0,351199521.0,354627469.0,354235212.0,366440417.0,382744569.0,397638139.0,509932788.0,534633989.0,551707123.0,576826355.0,617502539.0,622577027.0,638560779.0,645639673.0,667574094.0,662833775.0,674013477.0,686875114.0,673621018.0,668873020.0,712320169.0,679363673.0,748343238.0,739580188.0,755800605.0,741621407.0,739369114.0,724632971.0,738173018.0,742994548.0,752218997.0,758340988.0,750850217.0,733438082.0,725081550.0,736219338.0,755997419.0,766495000.0,784858000.0,793399000.0,784311000.0,776640000.0,770526000.0,753600000.0,859433000.0,856340000.0,864549000.0,864697000.0,879724000.0,883784000.0,889805000.0,895682000.0,890219000.0,895517000.0,898146000.0,917470000.0,925604000.0,921290000.0,920708000.0,915607000.0,939859000.0,935041000.0,953537000.0,968579000.0,978767000.0,1045286000.0,997973000.0,953077000.0,929573000.0,899564000.0,917685000.0,924467000.0,979795000.0,993049000.0,1026131000.0,1029059000.0,1042350000.0,1042905000.0,1049145000.0,1049284000.0,1050030000.0,1047500000.0,1054531000.0,1077665000.0,1097653000.0,1108634000.0,1142921000.0,1161439000.0
RCONB550,Total deposits (domestic),237669000.0,241754000.0,245988000.0,248764000.0,264106000.0,266033000.0,270550000.0,274714000.0,287357000.0,299596000.0,299790081.0,307111528.0,321137874.0,330958505.0,345820783.0,361362132.0,370404885.0,469259758.0,474865854.0,466813201.0,477961844.0,469593968.0,488966225.0,498928239.0,509118451.0,503080945.0,499784600.0,514866161.0,533314992.0,529536103.0,556038922.0,619302923.0,628332643.0,655134451.0,656099886.0,683215594.0,682554917.0,677336452.0,667605449.0,673767315.0,682302910.0,774617219.0,766013760.0,754991139.0,764626802.0,790182307.0,798078639.0,815756629.0,822520000.0,809628000.0,818778000.0,817013000.0,831310000.0,826064000.0,924164000.0,933458000.0,955324000.0,953143000.0,980112000.0,997476000.0,1019611000.0,1023054000.0,1035718000.0,1054388000.0,1081061000.0,1051595000.0,1067028000.0,1073110000.0,1098187000.0,1071932000.0,1081474000.0,1086931000.0,1090193000.0,1076780000.0,1081362000.0,1101762000.0,1178665000.0,1314175000.0,1319309000.0,1386451000.0,1465647000.0,1478056000.0,1535294000.0,1620016000.0,1661291000.0,1598411000.0,1559276000.0,1519215000.0,1495314000.0,1448437000.0,1449450000.0,1447021000.0,1475351000.0,1459311000.0,1465670000.0,1474985000.0,1506232000.0,1519886000.0,1514662000.0
