quarter,RIAD4652,RCONB550,RIAD4460,RCON3485,RCONB563,RIAD4020,RCON5370,RIAD8757,RIAD4646,RCON2210,RCON6636,RIAD4415,RIAD4093,RIAD4300,RCON2107,RIAD4074,RCON0090,RIAD4010,RIAD3217,RIADB508,RCON9999,RCON2200,RIAD4313,RIADB497,RIAD4092,RIAD4107,RCON2385,RIAD4135,RCONB562,RIAD4185,RIAD4635,RIAD8759,RIADA220,RCON1545,RCON3360,RIAD4060,RCON1763,RIADB489,RCON5510,RIAD4301,RIAD4507,RCON3387,RCONB549,RIAD4079,RCON0010,RIADB485,RIADB515,RIAD4340,RCONA564,RIAD4302,RIAD4115,RCON6631,RIAD4150,RIADB522,RIAD0093,RIAD5416,RCON2122,RIADB511,RIAD3210,RIAD4073,RCON6810,RCON2215,RCONA565,RIAD8758,RCON1797,RIAD4012,RIADB488,RCON1460,RCON5367,RCON5597,RIAD4200,RIAD4230,RCON6648,RCON1764,RIAD4508,RIAD4080,RIAD4180,RIAD4217,RIAD3123,RCON2365,RCON6835,RIADB486,RCONA569,RIAD3196,RIAD4605,RIAD4644,RIAD4518,reconstruction_error,anomaly_score,is_anomaly
12/31/2024,0.0,44928000.0,4547000.0,137592000.0,6042000.0,663000.0,211000.0,5000.0,34000.0,142165000.0,185549000.0,0.0,1204000.0,4709000.0,0.0,5046000.0,19686000.0,5906000.0,21872000.0,21872000.0,20241231.0,187093000.0,12000.0,1267000.0,1052000.0,11363000.0,44928000.0,117000.0,6851000.0,1063000.0,209000.0,1274000.0,1178000.0,15088000.0,82285000.0,83000.0,2338000.0,1147000.0,0.0,6235000.0,0.0,5779000.0,142165000.0,2472000.0,19766000.0,0.0,0.0,4709000.0,135000.0,1526000.0,930000.0,1544000.0,281.0,654000.0,210000.0,27000.0,84961000.0,56000.0,22090000.0,6317000.0,6348000.0,142165000.0,0.0,-78000.0,0.0,443000.0,1671000.0,639000.0,1747000.0,39543000.0,0.0,107000.0,38580000.0,1971000.0,3185000.0,0.0,12000.0,35000.0,546000.0,43134000.0,22853000.0,432000.0,1530000.0,51000.0,4000.0,11000.0,414000.0,15.412894166523696,15.412894166523696,True
09/30/2024,0.0,45080000.0,1100000.0,131014000.0,5726000.0,514000.0,111000.0,6000.0,34000.0,135077000.0,178472000.0,0.0,845000.0,3563000.0,0.0,3843000.0,13225000.0,4481000.0,21872000.0,21872000.0,20240930.0,180157000.0,9000.0,838000.0,733000.0,8530000.0,45080000.0,88000.0,6865000.0,755000.0,147000.0,906000.0,846000.0,959000.0,84011000.0,55000.0,4033000.0,861000.0,0.0,4664000.0,0.0,6627000.0,135077000.0,1695000.0,13256000.0,0.0,0.0,3563000.0,112000.0,1101000.0,690000.0,1685000.0,281.0,654000.0,160000.0,11000.0,81846000.0,421000.0,24756000.0,4687000.0,5844000.0,135077000.0,0.0,-61000.0,0.0,378000.0,1217000.0,544000.0,1834000.0,36548000.0,0.0,62000.0,39236000.0,1909000.0,2390000.0,0.0,11000.0,24000.0,574000.0,43291000.0,22036000.0,329000.0,1717000.0,50000.0,4000.0,11000.0,312000.0,13.695778845909794,13.695778845909794,True
09/30/2025,0.0,59556000.0,0.0,142468000.0,7697000.0,369000.0,64000.0,-1000.0,0.0,142046000.0,199472000.0,0.0,1103000.0,3368000.0,0.0,3425000.0,11958000.0,4381000.0,22090000.0,22090000.0,20250930.0,201602000.0,10000.0,1184000.0,927000.0,8418000.0,59556000.0,132000.0,0.0,967000.0,100000.0,1068000.0,1034000.0,15498000.0,98717000.0,51000.0,3082000.0,791000.0,11000.0,4423000.0,0.0,3940000.0,142046000.0,2244000.0,12004000.0,0.0,0.0,3368000.0,64000.0,1055000.0,520000.0,2130000.0,270.0,546000.0,155000.0,26000.0,101821000.0,527000.0,25985000.0,4993000.0,7875000.0,142046000.0,0.0,-55000.0,0.0,212000.0,1494000.0,663000.0,2331000.0,40231000.0,0.0,128000.0,50821000.0,1623000.0,2348000.0,0.0,20000.0,44000.0,614000.0,56419000.0,23298000.0,0.0,2211000.0,23000.0,20000.0,3000.0,378000.0,11.909598593481817,11.909598593481817,True
12/31/2023,0.0,39829000.0,3225000.0,133026000.0,5595000.0,337000.0,152000.0,-1000.0,0.0,136078000.0,174156000.0,0.0,1235000.0,4518000.0,0.0,5330000.0,11823000.0,5462000.0,19977000.0,19977000.0,20231231.0,175907000.0,9000.0,1036000.0,1096000.0,10168000.0,39829000.0,112000.0,7386000.0,668000.0,128000.0,1029000.0,1003000.0,1555000.0,78118000.0,111000.0,6282000.0,1043000.0,0.0,5922000.0,0.0,7065000.0,136078000.0,2139000.0,11859000.0,0.0,0.0,4518000.0,152000.0,1404000.0,1360000.0,1751000.0,309.0,468000.0,261000.0,100000.0,79621000.0,602000.0,21872000.0,4838000.0,5692000.0,136078000.0,0.0,-5000.0,0.0,472000.0,988000.0,461000.0,2189000.0,37746000.0,0.0,310000.0,34137000.0,2631000.0,2496000.0,0.0,9000.0,27000.0,654000.0,37189000.0,21900000.0,463000.0,2011000.0,49000.0,1000.0,0.0,614000.0,10.602648734973032,10.602648734973032,True
12/31/2007,0.0,26735000.0,0.0,382000.0,21481000.0,363000.0,0.0,-574000.0,0.0,0.0,27151000.0,350000.0,47000.0,-23000.0,0.0,543000.0,29000.0,664000.0,2811000.0,2822000.0,20071231.0,27151000.0,0.0,534000.0,35000.0,1539000.0,26735000.0,12000.0,658000.0,24000.0,0.0,0.0,-574000.0,0.0,14264000.0,260000.0,6474000.0,4000.0,0.0,-38000.0,1000.0,8572000.0,416000.0,-456000.0,92000.0,0.0,0.0,-23000.0,1000.0,-15000.0,0.0,0.0,75.0,1000.0,629000.0,-416000.0,16736000.0,0.0,3149000.0,996000.0,23607000.0,416000.0,0.0,0.0,0.0,306000.0,0.0,15000.0,1000.0,4769000.0,53000.0,4000.0,3128000.0,4063000.0,11000.0,0.0,63000.0,0.0,5000.0,27150000.0,6827000.0,26000.0,0.0,-74000.0,0.0,0.0,41000.0,10.076164453916299,10.076164453916299,True
06/30/2025,0.0,53366000.0,0.0,141476000.0,7095000.0,258000.0,378000.0,0.0,0.0,139537000.0,191091000.0,0.0,697000.0,2284000.0,0.0,2278000.0,11826000.0,2879000.0,22090000.0,22090000.0,20250630.0,192903000.0,7000.0,866000.0,586000.0,5525000.0,53366000.0,85000.0,0.0,660000.0,62000.0,701000.0,681000.0,15441000.0,93846000.0,29000.0,2202000.0,535000.0,12000.0,3000000.0,0.0,4904000.0,139537000.0,1568000.0,12071000.0,0.0,0.0,2284000.0,153000.0,716000.0,364000.0,1812000.0,268.0,546000.0,98000.0,21000.0,95359000.0,274000.0,24648000.0,3247000.0,7236000.0,139537000.0,0.0,-38000.0,0.0,147000.0,947000.0,542000.0,2286000.0,36433000.0,0.0,104000.0,46079000.0,1406000.0,1544000.0,0.0,15000.0,26000.0,629000.0,50799000.0,23095000.0,0.0,2005000.0,21000.0,20000.0,3000.0,243000.0,9.88149388360014,9.88149388360014,True
