IDRSSD,quarter,RCON0010_qoq,RCON0020_qoq,RCON0080_qoq,RCON0090_qoq,RCON0352_qoq,RCON1420_qoq,RCON1460_qoq,RCON1545_qoq,RCON1590_qoq,RCON1763_qoq,RCON1764_qoq,RCON1797_qoq,RCON2107_qoq,RCON2122_qoq,RCON2123_qoq,RCON2165_qoq,RCON2200_qoq,RCON2202_qoq,RCON2203_qoq,RCON2210_qoq,RCON2213_qoq,RCON2215_qoq,RCON2216_qoq,RCON2236_qoq,RCON2365_qoq,RCON2377_qoq,RCON2385_qoq,RCON2520_qoq,RCON2530_qoq,RCON3360_qoq,RCON3386_qoq,RCON3387_qoq,RCON3485_qoq,RCON3493_qoq,RCON3494_qoq,RCON3495_qoq,RCON3499_qoq,RCON3500_qoq,RCON3501_qoq,RCON5367_qoq,RCON5368_qoq,RCON5370_qoq,RCON5398_qoq,RCON5399_qoq,RCON5400_qoq,RCON5508_qoq,RCON5509_qoq,RCON5510_qoq,RCON5511_qoq,RCON5512_qoq,RCON5597_qoq,RCON6631_qoq,RCON6636_qoq,RCON6648_qoq,RCON6810_qoq,RCON6835_qoq,RCON9999_qoq,RCONA564_qoq,RCONA565_qoq,RCONA566_qoq,RCONA567_qoq,RCONA568_qoq,RCONA569_qoq,RCONB534_qoq,RCONB538_qoq,RCONB539_qoq,RCONB549_qoq,RCONB550_qoq,RCONB551_qoq,RCONB552_qoq,RCONB561_qoq,RCONB562_qoq,RCONB563_qoq,RIAD0093_qoq,RIAD3123_qoq,RIAD3196_qoq,RIAD3210_qoq,RIAD3217_qoq,RIAD3521_qoq,RIAD3584_qoq,RIAD3585_qoq,RIAD3588_qoq,RIAD3589_qoq,RIAD4010_qoq,RIAD4012_qoq,RIAD4020_qoq,RIAD4024_qoq,RIAD4060_qoq,RIAD4065_qoq,RIAD4070_qoq,RIAD4073_qoq,RIAD4074_qoq,RIAD4079_qoq,RIAD4080_qoq,RIAD4092_qoq,RIAD4093_qoq,RIAD4107_qoq,RIAD4115_qoq,RIAD4135_qoq,RIAD4150_qoq,RIAD4180_qoq,RIAD4185_qoq,RIAD4200_qoq,RIAD4217_qoq,RIAD4230_qoq,RIAD4300_qoq,RIAD4301_qoq,RIAD4302_qoq,RIAD4313_qoq,RIAD4340_qoq,RIAD4356_qoq,RIAD4415_qoq,RIAD4460_qoq,RIAD4470_qoq,RIAD4507_qoq,RIAD4508_qoq,RIAD4513_qoq,RIAD4518_qoq,RIAD4605_qoq,RIAD4618_qoq,RIAD4628_qoq,RIAD4635_qoq,RIAD4644_qoq,RIAD4646_qoq,RIAD4652_qoq,RIAD4655_qoq,RIAD4662_qoq,RIAD4665_qoq,RIAD5409_qoq,RIAD5410_qoq,RIAD5411_qoq,RIAD5412_qoq,RIAD5415_qoq,RIAD5416_qoq,RIAD8431_qoq,RIAD8757_qoq,RIAD8758_qoq,RIAD8759_qoq,RIAD8760_qoq,RIADA220_qoq,RIADA251_qoq,RIADB485_qoq,RIADB486_qoq,RIADB488_qoq,RIADB489_qoq,RIADB491_qoq,RIADB492_qoq,RIADB493_qoq,RIADB496_qoq,RIADB497_qoq,RIADB507_qoq,RIADB508_qoq,RIADB509_qoq,RIADB511_qoq,RIADB514_qoq,RIADB515_qoq,RIADB522_qoq
451965,3/31/2002,-1.625822825,0.560538117,-18.27195467,-47.69230769,17.66510881,1.806239737,11.29568106,85.90163934,6.570743405,2.845451085,-79.8245614,89.14488259,2.290076336,21.49102623,,-18.14890603,11.8107968,20,14.14141414,8.044143914,,7.636923077,,,,,13.08623867,,-27.27272727,38.23092906,8.411214953,4.04494382,24.49799197,-66.66666667,-66.66666667,500,425,,-20,75.48292902,-44.79385045,981.0372771,-24.32432432,-66.66666667,0,,,-18.18181818,-100,-13.51351351,,1.406074241,17.62619005,-31.4208612,12.77584204,-13.14553991,0.049973439,30.0174351,-84.39060939,-79.71153846,803.3007054,809.2733083,-2.586206897,,966.6666667,23.86634845,7.716205476,13.16989523,5.741387918,,900,42.54763769,17.4170647,-55.74712644,-4.651162791,-89.13043478,14.54781067,17.81918765,,,,,,3.066202091,-11.25,-98.94872752,-40.90909091,-4.347826087,-8.620689655,-12.67605634,-50.98296199,35.52894212,-45.42405367,8,-12.32394366,1.451278507,-1.869688385,-58.13953488,25.08250825,10.93711161,-53.04878049,-36.92307692,-48.80952381,10.17964072,7.142857143,-53.40189873,-41.14713217,4.411764706,0,-56.40822785,,-100,-100,,0,-62.5,0,0,41.66666667,,,25.45454545,-63.63636364,-100,,-80,,-100,,,0,,-400,-3972.614286,-70.625,-36.36363636,28.57142857,,,-6.557377049,,,10.97560976,-20,-23.14814815,,50.93167702,,-108.1606218,11.07594937,,17.81918765,,-55.38461538,,,-4.114134041
451965,3/31/2003,-29.07126733,4.25226947,-17.15771231,-14.70588235,54.15045135,-9.838709677,17.31343284,-36.15520282,6.120612061,6.431016933,-39.13043478,318.5757789,79.85074627,63.15867003,,-20.5,36.17895605,-16.66666667,-60.61946903,-52.53586822,,-49.56263221,,,446.3085714,,61.11711592,,660,52.07644406,7.801724138,4.131243969,19.19354839,225,100,-8.333333333,-90.47619048,,-16.66666667,120.8,142.4683544,66.84407796,110.7142857,241.5833333,57.14285714,,,22.22222222,,-68.75,92.33299308,15.58513588,46.10201199,-9.136013687,23.05963861,-2.822822823,0.049949224,210.9811518,-82.88,572.0379147,220.9453197,25.37868542,258.5054081,,-87.5,28.13102119,-55.68448588,60.30937276,-4.296506138,,-96.66666667,81.50521882,35.24874405,-12.98701299,-7.038327526,100,10.6341173,9.502038799,,,,,,32.31913455,-10.56338028,,-7.692307692,45.45454545,-27.35849057,12.90322581,3.475935829,30.04418262,19.84196664,11.11111111,-1.204819277,15.19073569,24.30715935,-61.11111111,29.41952507,14.31568655,5.194805195,-24.3902439,-20.93023256,5.97826087,44.44444444,40.74702886,39.83050847,38.30985915,-50,50.45372051,,,,,0,-66.66666667,0,0,-17.64705882,,0,18.11594203,0,,,200,,,,,300,,100,-33.5106383,-57.44680851,4.761904762,8.333333333,,,7.01754386,,-100,67.03296703,-25,-28.91566265,-100,-276.1316872,0,155.5555556,124.7863248,,9.502038799,,-51.72413793,,,-7.404844291
451965,3/31/2004,116.9356672,55.69813627,129.1426749,509.1954023,195.9164021,127.1914132,63.86768448,144.4751381,48.72773537,41.6188489,250,147.3949298,36.92946058,69.68452143,,-25.44750847,127.6541201,80,184.2696629,118.8456276,,129.0070279,,,-17.87791306,,127.5309368,250,705.9,75.83660444,41.30347861,41.92850838,269.6887686,53.84615385,50,163.6363636,0,-100,20,39.54927536,76.01148525,95.43963697,120.3389831,140,313.6363636,,0,122.7272727,,620,103.9568345,169.0430491,111.8766087,155.8840143,157.8781193,156.8603214,0.049924287,-35.77366265,245.7943925,231.9464034,385.5327751,131.2119087,23.88919364,,115275,66.69172932,144.3771757,123.623503,74.29699063,,462800,125.4943503,175.7620462,155.2238806,97.07646177,170,75.22200097,32.67321146,,,,,,60.90955544,19.94750656,-55.55555556,45.83333333,81.25,-45.45454545,171.4285714,34.10852713,74.63193658,60.43956044,120,174.5934959,82.14074512,67.34788667,142.8571429,38.43017329,72.60205627,-29.62962963,41.93548387,29.41176471,70.25641026,43.07692308,55.60916767,54.16666667,51.7311609,200,55.60916767,,,,,300,100,0,100,196.4285714,,200,73.6196319,0,,,66.66666667,,100,,,250,,,102.7888446,195,-4.545454545,25.64102564,,,19.67213115,,,104.6052632,200,418.6440678,,138.0841121,2500,-65.71428571,-34.79087452,,32.67321146,,1457.142857,,,16.14349776
451965,3/31/2005,-27.73236928,-2.227237049,-0.757849152,-86.41509434,-14.7083916,13.38582677,11.2189441,35.70621469,2.024522384,13.80072442,246.9387755,39.02323161,70.60606061,7.295447376,,6.683971447,8.121416106,-22.22222222,11.46245059,4.956516796,,6.291144879,,,39.73405339,,8.289144822,-38.0952381,-0.54517134,10.97437586,7.102433503,13.14635739,23.0966325,-45,-66.66666667,-6.896551724,850,,58.33333333,-15.96547892,2.387661278,-11.06462218,80,91.66666667,10.98901099,,-100,0,,-72.22222222,10.29866713,0.29046066,11.912015,3.340691685,36.14491599,-6.207892204,0.049899375,21.95449459,67.56756757,-47.46122796,-41.45949804,-34.1085633,52.88908568,,13.71614301,-1.262967975,9.909575127,8.078570168,-10.84064534,14767.24171,13.78267444,12.67952217,11.78351725,91.22807018,-9.965766451,-144.4444444,2.220652374,47.54412077,,,,-100,,21.68942521,14.66083151,625,37.14285714,-1.724137931,2.380952381,12.10526316,89.59537572,8.754863813,28.72146119,-2.693602694,-24.72242783,17.11038961,20.39966694,-11.76470588,39.02798233,18.49358908,-1.754385965,113.6363636,11.36363636,100.6024096,-45.69892473,21.08527132,20.54054054,19.59731544,100,21.08527132,-100,,450,,25,350,0,8.333333333,2.409638554,,-33.33333333,-12.72084806,0,,,-60,,0,,,28.57142857,50,,-3972.614286,25.42372881,95.23809524,26.53061224,-400,-100,36.98630137,,19.53125,16.39871383,-44.44444444,8.823529412,,182.208589,526.9230769,-58.33333333,42.46841594,,47.54412077,,-151.8348624,-10.52631579,8.333333333,56.24195624
451965,3/31/2006,7.126803451,3.231309584,-9.418181818,122.2222222,-1.32303504,5.972222222,-3.560209424,-5.745212323,11.40301845,11.49592706,68.82352941,-26.90129845,23.62344583,2.778771531,,9.701946472,9.515189946,78.57142857,-7.978723404,11.39994584,,11.8515414,,78.53658537,18.61304554,,9.305033699,7.692307692,11.92247455,4.606089112,8.877146631,11.77828465,20.87421945,-18.18181818,200,-11.11111111,-78.94736842,,-42.10526316,-3.408472984,228.6210892,-41.07946027,35.04273504,69.56521739,79.20792079,,,5.102040816,,-60,15.78459898,2.855545958,12.40405332,35.90857306,9.663683446,-3.283735249,0.049874488,24.9724737,601.7741935,4.367165386,-59.60581124,-78.52869331,192.1951926,,14.25304878,4.339881224,14.4652316,7.762225441,0.380952381,1006.25,14.50541105,2.644431209,3.286487523,110.7033639,-11.02661597,-191.6666667,9.867491962,3.101311428,,-100,,,,29.01878914,43.70229008,27.5862069,50,66.66666667,4.651162791,9.389671362,101.8292683,10.13714967,-5.072720823,7.785467128,11.50442478,9.86969781,30.93591517,33.33333333,17.42584746,5.394668061,162.5,-31.91489362,77.55102041,-13.06306306,47.52475248,-7.554417414,-9.37627395,-12.5701459,33.33333333,-7.554417414,,,-74.54545455,,-4,144.4444444,100,-15.38461538,-11.76470588,,-50,-2.834008097,0,,,150,,-50,,,33.33333333,33.33333333,-50,147.1014493,24.32432432,-4.87804878,-9.677419355,133.3333333,,1,,26.79738562,23.48066298,-40,51.05105105,,-81.73913043,-47.85276074,-20,-12.48294679,,3.392419657,,67.69911504,-20.58823529,0,-12.6029654
451965,3/31/2007,-7.227937195,-10.09040537,4.295463669,107.5,-6.579511135,8.125819135,-1.882012305,-19.96466431,17.31058705,17.7762725,55.74912892,36.92153589,17.81609195,-1.991976951,,10.47962296,-5.330848809,-32,-12.71676301,-5.901798736,,-4.209167742,,-100,-88.62965695,,-5.434095307,14.28571429,28.59891552,-1.921999405,15.86993448,16.71051014,13.50553506,-66.66666667,-66.66666667,-54.16666667,-50,-100,-63.63636364,-38.33644668,-30.68582511,-23.29560411,51.58227848,43.58974359,42.54143646,,-50,109.7087379,,0,-17.74782661,-7.250654547,-4.56880662,36.01404097,11.58843232,2.679045093,0.049849626,-26.05907834,-56.28591128,-51.60790391,-51.30784708,-18.81286068,-61.39055454,-55.55555556,25.20013342,2.101576182,-2.476246739,-5.342308965,-13.7254902,-39.33987511,23.22997844,33.30238675,0.042810648,39.62264151,2.136752137,182.8571429,9.301244359,12.57722736,,,,,,8.778317152,28.28685259,189.1891892,25,3.157894737,13.33333333,10.72961373,18.58006042,3.871142393,28.10164425,9.63081862,1.410934744,9.841029523,9.014084507,-5,15.87731168,6.031974341,-19.04761905,-35.9375,51.72413793,4.14507772,195.9731544,21.95290859,12.46063878,-5.13478819,12.5,21.95290859,,,185.7142857,,-20.83333333,68.18181818,50,0,45.33333333,,200,102.9166667,125,,,-40,,0,,,145.8333333,0,-500,98.46153846,-6.52173913,-58.97435897,30.35714286,400,-40,127.7227723,,37.11340206,64.87695749,-33.33333333,3.578528827,,171.4285714,-23.52941176,0,23.6944661,-170.2970297,12.06233274,-100,108.2191781,50,15.38461538,-1.602262017
451965,3/31/2008,8.185001459,-4.746459077,19.09160893,-48.4939759,-7.591028581,7.272727273,6.787163408,-2.98013245,-4.726261762,36.16999425,34.67561521,4.244700221,37.68292683,11.95918195,,36.78795483,6.209665163,5.882352941,25.38631347,10.3172143,,16.26390821,,,34.27953501,,5.27222256,68.75,-7.154515778,10.47505193,-5.42408377,35.43562521,12.87386216,66.66666667,-100,-9.090909091,100,,50,-9.785247432,-1.952181101,-44.61221688,55.74112735,185.7142857,51.9379845,,-100,43.51851852,,87.5,4.955318641,-3.202354163,9.840655051,8.732329263,16.60055604,1.369155257,0.049824789,-34.13762288,42.42902208,31.22497998,17.71694215,31.45816409,31.66474137,55,32.5562808,4.674099485,21.86269561,6.026365348,-34.01759531,-55.34313725,33.50376749,12.02553685,7.768612085,-18.3991684,88.65643887,1003.448276,8.372116299,3.588279116,,,,,,-1.32019338,16.35610766,27.10280374,-26.66666667,50,41.17647059,1.937984496,-5.435244161,12.84857962,2.712952159,9.077598829,-14.43478261,-1.263496439,5.894702842,-21.05263158,2.296613468,3.48954151,15.12605042,402.4390244,-8.333333333,7.296849088,206.8027211,-10.39182283,0.8,27.46955345,0,-10.39182283,,,-55,,36.84210526,-32.43243243,33.33333333,27.27272727,22.01834862,-100,0,133.0595483,211.1111111,,,33.33333333,,100,,,479.6610169,125,-550,-63.56589147,10.46511628,-900,-20.54794521,-680,666.6666667,-122.173913,,13.90977444,10.44776119,0,63.14779271,,25.43859649,-100,0,30.11972275,100,3.77123809,,-3801.069182,69.13580247,20,73.61111111
451965,3/31/2009,52.56237357,-5.947786606,-0.517129929,5079.532164,13.86289629,48.1920904,33.85146805,-8.873720137,24.84848485,18.29906627,79.06976744,8.811190992,10.80602303,13.32845468,,36.87396808,10.5153128,11.11111111,19.36619718,-12.01704678,-31.7535545,-9.207476636,-50,,1.892490437,-10.28571429,12.54624194,166.6666667,19.95312042,14.46086959,19.24269265,25.58403584,15.78341014,300,,480,250,,1183.333333,24.74757929,-17.18010247,5.307724081,20.24128686,27.5,183.9285714,450,,-32.25806452,,246.6666667,7.800166091,5.689446462,12.1559751,6.022389117,14.42619465,14.95922528,0.049799976,9.538167747,50.60908084,-0.366076876,32.51426064,-7.940676657,67.77149542,-100,57.61230027,20.36050799,-12.43527609,12.60783355,27.77777778,-55.76289791,61.72142713,-2.346907056,14.81571847,-73.12101911,152.3410547,-175.3125,4.118950868,-0.15342203,,,,,,-11.11739212,-8.896797153,-93.38235294,-31.81818182,66.66666667,47.22222222,-14.4486692,-68.79209699,28.84526559,43.96478273,2.416107383,53.35365854,22.66170312,-4.31599817,-60,15.0304414,8.949489623,-80.2919708,-74.27184466,-36.36363636,8.346213292,137.7679231,-19.64512041,-23.88888889,-30.99787686,0,-22.81368821,-59.47712418,133.1914894,-33.33333333,,-23.07692308,-80,-75,-7.142857143,24.06015038,,0,104.2290749,82.14285714,,,25,,-50,,,80.11695906,77.77777778,30.76923077,229.787234,-22.10526316,92.1875,50,-62.06896552,-108.6956522,149.0196078,,83.49834983,-15.6019656,50,34.11764706,,184.6153846,,125,37.48184019,,-0.15342203,,1082.511211,247.4452555,55.55555556,128.2206897
451965,3/31/2010,155.5491713,-4.791214096,101.8843405,327.9214181,20.46863206,12.35226839,154.7870968,63.1710362,3.092412801,44.67382434,81.26159555,51.74637754,123.3413269,97.83860034,,50.32837421,126.8223361,1538.333333,843.835343,156.3048917,1138.888889,148.795652,-16.66666667,,168.9191859,653.8216561,124.9970072,130.5555556,228.3952125,101.6863975,10.34354689,59.30545063,211.3101161,25,2742.615385,101.7241379,1521.428571,4515.714286,249.3506494,268.4839322,42.03602193,689.0762895,48.16053512,102.4509804,87.15184187,749.3506494,100,479.5238095,7625.333333,676.9230769,76.75927277,96.02249063,136.6897115,125.1369955,172.7891113,443.2240981,0.049775188,190.3105932,165.6617647,466.87079,159.1721854,125.5244168,406.6124346,,10.49477174,48.0599047,128.714698,117.8513709,-23.60869565,885.6079404,12.06531223,106.2496684,125.7969891,39.33649289,108.7011719,99.58506224,122.3116768,35.44692804,,0,-100,,,84.67246131,41.2109375,33.33333333,24.44444444,80.40816327,170.754717,84,82.58992806,80.83886001,41.8425725,74.31192661,70.04638834,75.73975721,81.03283392,216.6666667,61.59444261,33.74866033,-62.96296296,492.4528302,159.7402597,84.16547789,49.20733603,65.85173502,67.51824818,70.76923077,0,68.06239737,11085.12545,-60.25641026,-100,,160,120,400,253.8461538,163.6363636,,333.3333333,114.1069888,131.372549,,,860,,100,,,91.55844156,112.5,-255.5555556,-75.80645161,112.1621622,580,59.77011494,161.7021277,1300,292,,16.90647482,99.12663755,300,52.80701754,,63.02211302,,-133.3333333,34.73053892,,35.85508151,,82.01734368,23.7394958,46.42857143,39.24815665
451965,3/31/2011,52.45079387,1.952085182,8.947537818,62.70019261,24.25737332,-2.137767221,9.490529728,160.2142311,-4.447157307,2.385002512,-60.28659161,-6.852226147,68.00286328,-3.669891842,,-6.856276748,4.383898463,-55.55555556,10.20836063,5.100515036,-6.053811659,8.887050062,380,-21.30705982,-3.372520206,57.20321082,3.970253125,-38.55421687,-3.715273904,-5.750991777,-3.264893975,-9.732717604,9.290432559,-16,-65.51724138,71.79487179,-37.88546256,-83.5978836,46.8401487,-5.026468263,-20.37159555,-13.73058283,-23.10007524,-43.82566586,3.648583773,73.85321101,300,30.07395234,-35.94594595,114.8514851,-22.99381583,14.02979921,1.824591198,-18.44046365,4.314220993,9.730709628,0.049750425,-31.32634839,-33.15804041,-26.12077347,-25.16928581,25.37391175,16.07790063,-46.96086595,-7.720715522,16.8045977,9.342682221,4.55465046,37.73477518,-19.88922457,-9.009009009,-7.202387077,9.168933357,-17.68707483,-12.12858547,-4623.440476,-0.923527154,116.71364,,50,,-51.85185185,,-4.02938813,-0.484094053,100,-3.571428571,-3.619909502,-21.2543554,6.280193237,-19.62174941,-4.162949747,-7.885952712,-23.7593985,12.08106002,3.950350783,-5.8901215,147.3684211,3.582395087,19.21792446,-50,-13.69426752,-41.5,-4.415182029,-60.08333333,46.79029957,44.3199502,39.63963964,155.5555556,48.51001466,-100.041658,12.90322581,,,51.92307692,-36.36363636,20,2.173913043,9.195402299,0,-7.692307692,-36.02659682,-62.71186441,,-100,-41.66666667,,100,,,-30.16949153,2.941176471,-43.75,244,-36.94267516,635.4166667,-64.02877698,-244.8275862,58.33333333,412.244898,,-10.92307692,-12.5,-75,-14.58094145,,-32.32856066,,300,-9.490196078,-100,116.0625607,,-97.46740221,-37.52122241,26.82926829,70.46006944
