quarter,RCONA567_qoq,RIAD4652_qoq,RCFD8719_qoq,RCFDA556_qoq,RCONB550_qoq,RCFDB559_qoq,RCFDB857_qoq,RCON3499_qoq,RCFN6631_qoq,RCFDA557_qoq,RCFD3368_qoq,RCFDB854_qoq,RIAD4460_qoq,RCFD3819_qoq,RCON3485_qoq,RIADB492_qoq,RCFD1773_qoq,RIAD5409_qoq,RCFDB560_qoq,RCFD8703_qoq,RCFD0081_qoq,RCFD2107_qoq,RCFD8742_qoq,RCFD1255_qoq,RCFD3815_qoq,RCFNB572_qoq,RCFN3360_qoq,RCONB563_qoq,RCFD8747_qoq,RIAD4020_qoq,RCON5370_qoq,RIAD8757_qoq,RCFD8733_qoq,RCFD0416_qoq,RCONB551_qoq,RCFD3839_qoq,RCFDB860_qoq,RIADB514_qoq,RCON5512_qoq,RCFD3200_qoq,RCFD8745_qoq,RCFD6165_qoq,RCFD3163_qoq,RIAD4646_qoq,RCON2210_qoq,RCON6636_qoq,RIAD4415_qoq,RIAD4093_qoq,RCON1752_qoq,RIAD4070_qoq,RIAD4300_qoq,RCON2107_qoq,RCFD1583_qoq,RIAD4074_qoq,RCFD3529_qoq,RCFD3433_qoq,RCFNB573_qoq,RCON5399_qoq,RCON0090_qoq,RCFDB571_qoq,RIAD4010_qoq,RIAD4628_qoq,RIAD3217_qoq,RCFD8715_qoq,RCFDA559_qoq,RIADB508_qoq,RCFD1739_qoq,RCFDB530_qoq,RCFD0010_qoq,RCFD3210_qoq,RCFDB805_qoq,RCFDB846_qoq,RCFD8710_qoq,RCFD5380_qoq,RCON9999_qoq,RCON2200_qoq,RCFD3381_qoq,RIAD4313_qoq,RCFD8711_qoq,RCON0070_qoq,RCON5511_qoq,RIADB497_qoq,RCFDB558_qoq,RCFD5382_qoq,RCFD8700_qoq,RCFD8748_qoq,RCFD6558_qoq,RCFD3822_qoq,RCFDA570_qoq,RIAD5410_qoq,RCFDA589_qoq,RCFD1590_qoq,RCFDB537_qoq,RIAD4092_qoq,RCFD1763_qoq,RIAD4107_qoq,RIAD4172_qoq,RCON2385_qoq,RCFD8498_qoq,RCFN2200_qoq,RIAD4056_qoq,RCON2165_qoq,RCON3129_qoq,RCFD8738_qoq,RCFD2081_qoq,RCFD2930_qoq,RCFDA574_qoq,RCON5508_qoq,RCFDB534_qoq,RCFDA591_qoq,RCFD8704_qoq,RCFDA554_qoq,RCFD8697_qoq,RCFD3365_qoq,RCON2192_qoq,RCONB561_qoq,RCFD3353_qoq,RIAD5411_qoq,RCFDB556_qoq,RIAD4135_qoq,RIAD4024_qoq,RCFD2145_qoq,RCON0082_qoq,RCFDA222_qoq,RIADB513_qoq,RCONB562_qoq,RIAD4185_qoq,RCFDB533_qoq,RCONB535_qoq,RIAD4635_qoq,RCONB534_qoq,RIAD8759_qoq,RCFD8739_qoq,RCFDA590_qoq,RCFDA551_qoq,RIADA220_qoq,RCFD3546_qoq,RCFDA248_qoq,RCFD3430_qoq,RCON3495_qoq,RCON1545_qoq,RCON3500_qoq,RCON3360_qoq,RCFD1252_qoq,RCFD8714_qoq,RCFDA575_qoq,RCFD1741_qoq,RCFDA555_qoq,RIAD4060_qoq,RCON1763_qoq,RCFD1744_qoq,RIAD4069_qoq,RIAD3584_qoq,RCFD5460_qoq,RCFD3506_qoq,RIADB489_qoq,RCON5509_qoq,RCFD0071_qoq,RCFD3401_qoq,RIAD8431_qoq,RCFD1771_qoq,RIAD3589_qoq,RCON5510_qoq,RCFD8699_qoq,RCFD8694_qoq,RCFD0090_qoq,RCFN3404_qoq,RCFD3548_qoq,RCONA566_qoq,RCFDA549_qoq,RIAD4665_qoq,RIADB512_qoq,RIAD4301_qoq,RIAD4507_qoq,RCON3387_qoq,RCFD1286_qoq,RCONB531_qoq,RCFNA245_qoq,RCFD3820_qoq,RIADB496_qoq,RCFD6550_qoq,RCFD8727_qoq,RCONB549_qoq,RCFD8741_qoq,RCFD8726_qoq,RIAD4618_qoq,RCFD3507_qoq,RIAD5412_qoq,RCFD6164_qoq,RIAD4079_qoq,RIAD4065_qoq,RCFDB576_qoq,RCFD3432_qoq,RCON0352_qoq,RCON3386_qoq,RCFD3547_qoq,RCFD1253_qoq,RCFD2150_qoq,RCFD1254_qoq,RCON0010_qoq,RIADB485_qoq,RCFDB849_qoq,RCFD8737_qoq,RCFDA571_qoq,RCFD8735_qoq,RCONB552_qoq,RIAD5415_qoq,RCFD8743_qoq,RIADB515_qoq,RCON2081_qoq,RCON2216_qoq,RCFD1248_qoq,RCON2213_qoq,RCFD1256_qoq,RCFD1287_qoq,RCFDA573_qoq,RIAD4340_qoq,RCFD8695_qoq,RCFD3300_qoq,RCFD8707_qoq,RCFD8499_qoq,RCFD8696_qoq,RCFNB554_qoq,RCFD8709_qoq,RCON3494_qoq,RCONA564_qoq,RCFDB528_qoq,RCFN2898_qoq,RIAD4302_qoq,RCFNB553_qoq,RIAD4059_qoq,RCFD6560_qoq,RCFD1737_qoq,RCON1590_qoq,RCFD1772_qoq,RCFD8734_qoq,RIAD4115_qoq,RCFDB837_qoq,RCFD6559_qoq,RIAD4627_qoq,RIAD3585_qoq,RCFD1752_qoq,RCFD2170_qoq,RCON6631_qoq,RCFDA127_qoq,RIAD4150_qoq,RCFD8496_qoq,RCFD1746_qoq,RCFD8746_qoq,RCON2377_qoq,RCON2203_qoq,RCFD8706_qoq,RIADB522_qoq,RCFD8712_qoq,RIAD0093_qoq,RIAD5416_qoq,RCFN2625_qoq,RCFDB536_qoq,RCON2122_qoq,RCFD3826_qoq,RIADB507_qoq,RIADB511_qoq,RCFD3190_qoq,RIAD3210_qoq,RCFDB859_qoq,RCFDB852_qoq,RCFD3814_qoq,RIAD4073_qoq,RCFD3505_qoq,RIAD4645_qoq,RCFDB858_qoq,RCFD8765_qoq,RCFD3000_qoq,RCFDA572_qoq,RCON0080_qoq,RCFD1251_qoq,RCONB539_qoq,RCFD1738_qoq,RCFD3355_qoq,RCFD8705_qoq,RCFD8723_qoq,RCFDB847_qoq,RIAD4662_qoq,RCFDB861_qoq,RCON6810_qoq,RCON2215_qoq,RCFD8744_qoq,RCFN2133_qoq,RCFD2148_qoq,RCFNB555_qoq,RCFDB856_qoq,RCON2163_qoq,RCFD2746_qoq,RCFD3549_qoq,RCONA565_qoq,RIADB491_qoq,RIADB487_qoq,RIAD4655_qoq,RCFDB704_qoq,RCFDA562_qoq,RIAD8758_qoq,RCFD8716_qoq,RCFD5459_qoq,RCFD1250_qoq,RCON1797_qoq,RIAD3588_qoq,RCFD2948_qoq,RCFDB845_qoq,RCFD2122_qoq,RIAD4012_qoq,RIADB488_qoq,RCFD1754_qoq,RCFD8701_qoq,RCON1460_qoq,RCON5367_qoq,RCFD3484_qoq,RCFD3164_qoq,RCON0020_qoq,RCFD8724_qoq,RCON5597_qoq,RCFDB532_qoq,RIAD4200_qoq,RIAD4230_qoq,RCON6648_qoq,RCFDB841_qoq,RCFD2160_qoq,RCFD8720_qoq,RCFDB844_qoq,RCON2202_qoq,RCFD5379_qoq,RCFD0211_qoq,RCFD8728_qoq,RCON1764_qoq,RIAD8760_qoq,RCON2236_qoq,RCFD8740_qoq,RIAD4356_qoq,RCON3493_qoq,RCON1420_qoq,RCON5368_qoq,RCON2941_qoq,RCFN2650_qoq,RCFD1764_qoq,RCFDA561_qoq,RCON5400_qoq,RCON2520_qoq,RCFDB575_qoq,RIADA251_qoq,RCFDB538_qoq,RIAD4508_qoq,RIAD4080_qoq,RCFDB539_qoq,RCFD8713_qoq,RIAD4617_qoq,RCON2530_qoq,RCFD8693_qoq,RIAD4180_qoq,RIAD4217_qoq,RIAD3123_qoq,RCFD8497_qoq,RCON3190_qoq,RCFDB804_qoq,RCFD2130_qoq,RIAD4513_qoq,RCFDA558_qoq,RCFDB855_qoq,RCFDB853_qoq,RCONB538_qoq,RCFDB529_qoq,RCON2365_qoq,RCFDA553_qoq,RCFDA552_qoq,RCFD2651_qoq,RCFD5461_qoq,RCON6835_qoq,RIADB493_qoq,RIADB486_qoq,RCFD5369_qoq,RCFD2168_qoq,RCFD8698_qoq,RCONA569_qoq,RCFD3123_qoq,RCON3501_qoq,RCFD1594_qoq,RCFD8736_qoq,RCFD8725_qoq,RCFDB840_qoq,RIAD3196_qoq,RCFD3632_qoq,RCFD0213_qoq,RCFD3450_qoq,RIAD4605_qoq,RCFDA247_qoq,RCFN6636_qoq,RCFD1249_qoq,RCFD0022_qoq,RCFDB848_qoq,RCFD8708_qoq,RIAD4644_qoq,RCFD3545_qoq,RCFD1597_qoq,RCFNB574_qoq,RCFDA126_qoq,RCONA568_qoq,RCON5398_qoq,RCFDA560_qoq,RCFD3821_qoq,RIAD4518_qoq,RCFDA550_qoq,nn_score,lof_score,ensemble_score,nn_anomaly,lof_anomaly,is_anomaly,reconstruction_error,anomaly_score
06/30/2017,-0.1289767841788478,0.0,-6.304016268429081,-30.422535211267604,0.8539828386689029,1.965401182841868,40.14598540145985,33.33333333333333,-33.33333333333333,-50.0,-0.2490854255565574,-52.38095238095239,100.0,0.2625903426021962,-4.161372299872935,81.76100628930818,-13.421743036837375,0.0,1.169234994654085,-6.005266000540103,2.70184361093452,3.245942571785269,-71.54471544715447,0.0,23.92334680645889,0.0,4.337172261700563,0.8336274933219782,0.0,126.1904761904762,4.55128811315402,213.1578947368421,-69.75864152383376,-4.001111419838844,10.981025433992734,3.5790722021995123,2.5423728813559325,102.7027027027027,19.047619047619047,-1.871353890446246,-23.28912466843501,-16.666666666666664,0.0088226212007587,15.555555555555555,-8.827267003987222,-3.9315332621332777,2723.636363636364,97.85064756131166,-7.789249924081385,100.99403578528828,106.48394354673758,3.245942571785269,12.5,102.46809229989012,0.0,42.60355029585799,20.0,9.836065573770492,-14.635870953614832,-17.864965854915603,103.31422615945804,76.92307692307693,0.0,-3.144880566558637,-3.613527564729501,0.0,-8.135265700483092,63.594113090627424,-12.829752267332156,4.005893082643468,-1.5728517182535255,-13.48314606741573,12.40253411306043,-100.0,0.001482375276836,-0.5867017482989264,-1.9359296060491205,113.23529411764706,4.11769943019943,-22.77227722772277,800.0,98.92215568862277,-10.830927463009743,0.0,0.0,0.0,-53.65853658536586,0.8757961783439491,0.2505685483957396,75.0,44.01498072867428,-5.491071428571429,-5.028512182477968,106.00255427841634,0.5490919324802548,103.74818327851295,133.55704697986576,0.7594182988358137,6.820424272323631,-0.0859810022928267,0.0,0.7026867434307648,-1.0188783894541316,-1.605916534601162,9.06515580736544,26.394429281265307,-4.3362870679066505,-10.185185185185183,0.0,-0.3022628595979786,6.1874431301182895,9.15889576216416,8.006711807122048,13.80794440495933,-1.1512436952748677,6.300784533482768,5.929531500636097,69.04761904761905,0.2633178043346161,94.05233941316416,102.4390243902439,0.6987577639751553,-49.85693848354792,0.0,0.0,-3.589317375886525,105.62851782363978,1200.0,-4.6377140265336205,85.75221238938053,0.0,-61.90476190476191,4.76118728341118,-3.2636310338088723,-69.74712924505253,93.1129476584022,-21.879194630872483,-57.9646017699115,0.0,-2.380952380952381,88.23529411764706,-100.0,-0.324384038944232,-52.94117647058824,13.481763946122149,-4.1633494122605725,-7.895225710570314,160.46511627906978,104.0787623066104,0.243157793116764,-21.703980099502488,108.13953488372093,0.0,0.0,0.0,101.47849462365592,-100.0,-14.118096845213769,7.420016902088615,101.75438596491227,30.468263194605903,25.0,-18.4375,-27.89223454833597,0.0,-14.635870953614832,-1.2647635442069527,-11.867403314917128,9.609683794466402,-4.856619652458505,166.66666666666669,0.0,107.16010796988208,105.92105263157892,1.3008424782072343,-81.75253889872356,5.041322314049586,-7.33002354846935,1.1904761904761905,100.0,-5.456369107321966,0.0,-11.06790689762019,-42.26519337016575,-4.840319361277445,11.11111111111111,35.714285714285715,96.29629629629628,-97.50740805298936,98.43179049939098,97.41379310344828,12.295081967213116,-38.56893542757417,4.864751277686419,-5.240457192150097,-9.051439358187825,-12.731572723689396,-9.467455621301776,100.0,-13.336663336663335,107.96178343949046,4718.181818181818,-70.9021986353298,-2.804520719966513,1.3776881720430108,4.236300038865138,700.0,0.0,110.86956521739133,8.498583569405099,-5.555555555555555,-40.0,47.5609756097561,-18.48341232227488,-81.73014247136605,-1.9446925397280128,106.48527004909984,10.586370839936608,-0.9855249768468232,-5.874301357362838,7.325786686052549,-3.8737050914701343,-2.576434215046376,2.0964038134095366,0.0,12.430727641360669,1.3140469723249446,-5.880480176788958,108.69767441860463,8.187953865869286,106.8840579710145,0.0,0.0,-4.472190692395006,-14.049770033547206,0.2401085708320283,128.3582089552239,3.1991174848317705,-100.0,0.0,0.0,-7.784522003034901,-0.9855249768468232,6.275458435657251,8.481187092198962,-0.7888723961373606,-0.0963855421686746,-21.28440366972477,190.1840490797546,-5.902692022721659,36.36989444699403,0.0,0.0,5.853224987303199,136.53846153846155,121.0762331838565,-4.801416469934732,0.0,1.811286884326265,8.513036710791276,0.0,1156.338028169014,-10.947895739296058,4.005893082643468,-80.7070707070707,-4.558472553699284,-2.2837476099426386,115.94202898550724,-63.1578947368421,70.43010752688173,-80.60913705583756,13.909042647319058,-1.5151515151515151,22.03719723183391,1.665945478147988,-26.923076923076923,-0.2016836197825324,0.0,-9.569245487273731,3.615969088366326,-2.5900055079865805,-13.48314606741573,0.0,2.515723270440252,-3.2983747075870253,-8.894239076593442,0.0,0.0,-22.5,39.70588235294117,37.95620437956204,0.0,-5.536737884314747,-1.2605469147097692,17.314814814814813,0.0,110.124826629681,150.0,-0.172461510057755,-3.9100684261974585,21.164021164021165,-3.87239165329053,-38.37837837837838,0.0,-3.1664853101196955,100.0,-1.4769822176717775,0.0,1.969610011628932,101.6082711085583,92.5925925925926,29.9859160149735,-17.897790671725062,4.676735559088501,4.594704964143822,-0.0538880206929999,-3.0131954836076726,27.23221391055228,3.2315816395612997,-8.330629707704773,4.049586776859504,103.15789473684212,109.49820788530468,11.7560807314128,-20.0,-2.61750721022683,7.487219819111286,-1.4234875444839856,-29.166666666666668,0.0,0.0156610063315211,0.0,-13.162217659137577,96.42857142857144,8.564231738035264,24.594992636229748,225700.0,-88.88888888888889,1.1785714285714286,-5.466735430634348,-13.859626856200023,-11.112514206339185,2.552625211710622,-14.896260405019255,-4.771505376344086,17.708333333333336,31.83183183183183,50.0,25.579986458073485,146.15384615384613,98.4593837535014,-0.2016836197825324,1.9059640781251703,113.63636363636364,-2.0373858861034635,-3.592058272005126,170.0,96.05150214592275,-0.0388915896937287,1.4832925835370825,-5.84335972404048,-11.095890410958903,3.451650209056134,140.0,309.09090909090907,-52.42165242165242,-3.9482961222091655,25.579986458073485,1.329398460986844,4.857142857142857,2.265359053331172,-13.870208065260142,151.8210082167444,203.7735849056604,-4.503409795412275,47.05882352941176,97.9151154132539,45.74592074592075,-3.598025758593499,2.711391400703156,4.485468518736415,-0.0388915896937287,-11.428571428571429,-91.53846153846152,-13.01504251144539,3.73235678012228,-20.0,257.64705882352945,3.2176173110632043,0.4008504229968552,-11.89591275164227,97.95918367346938,3.846913092829295,0.1832605519279505,-18.181818181818183,12.017775487859856,4718.181818181818,7.473544973544974,82.8125,-1.7805998978708288,-50.0,-100.0,-5.48831003397181,1.639041222502927,1.5384615384615383,7.980306258246184,-0.068259385665529,101.53846153846152,-14.573587621446563,100.0,99.99999999999137,99.99999999999656,True,True,True,8111745468.46328,99.99999999999656
06/30/2012,5.665956943458718,100.0,-3.524722879561589,-23.07692307692308,-1.959906838635228,0.7666312795286757,68.17472698907956,-45.37815126050421,29.93389990557129,-16.666666666666664,1.3992735567121664,0.0,100.0,3.94407781650028,-7.906514172053705,269.7674418604651,-0.137270706626609,0.0,1.2589769895940204,11.317440401505646,-1.9342472118959109,1.9303688383316095,22.463768115942027,-100.0,2.292436467838021,-100.0,-6.622203550047264,3.4538563222389267,0.0,100.0,2.9009385389390685,-127.93296089385476,0.7721462067193422,0.6932957438545517,-4.541062801932367,0.0442397796054616,-5.364125122189638,94.73684210526316,-6.053268765133172,-9.693211488250652,14.93927125506073,20.0,1.2549351381838691,35.714285714285715,10.502616004803157,-0.6683178547696339,33.33333333333333,99.78507829290758,-1.3434183788665612,101.99115044247787,95.00260281103591,1.9303688383316095,-5.0,101.59081755940396,-66.66666666666666,-12.392426850258175,25.95419847328244,-5.421686746987952,-9.3071000855432,-26.671318911374737,101.72290021536251,145.45454545454547,0.0,1.6424510423247,-6.583602522688817,0.0,-1.4964216005204944,10.332238043081416,-6.802944068655205,0.7376582557589462,1.1878105572213482,0.0,21.762632197414806,0.0,0.0014860590514142,-0.6165400135523912,36.46168173761529,83.33333333333334,-3.2235135231190246,25.250501002004004,31.666666666666664,106.097806399678,-4.530201342281879,0.0,0.0,0.0,-14.084507042253522,53.94736842105263,0.4020152058404251,0.0,-2.0593548387096776,0.5616991398981921,-2.7841094106154345,109.5390070921986,4.480596731696992,101.1384845091452,111.53846153846156,-1.564631782295768,9.96639143604,9.62245538516725,0.0,-4.414659293279595,-0.9221466364323506,-21.853607161664037,0.0,-11.77917094525212,3.103128425668269,-16.682113067655237,45200.0,3.77298606651007,-5.811051693404635,7.922591681813322,-4.6008597534877085,-8.567372621240024,-0.1089807609043667,-0.4350190320826536,5.887706923033164,83.14285714285714,-1.8903199002908184,96.52828802351212,96.0,-0.3595274781715459,-2.443940539178634,-12.344474262015126,0.0,0.7870176904861401,86.47342995169082,-3.715498938428875,-2.6393581081081083,94.068851099129,100.0,-335.0,-4.5286506469500925,-8.650152338058021,5.3602015113350125,-62.64501160092807,-12.870619946091644,-99.49264332825976,0.0,2.1164021164021163,27.07090788601723,100.0,0.6350433330324096,-51.388888888888886,7.823331352743118,0.7722481000245158,-1.2996316004911994,-40.29771398192451,106.93950177935945,4.451944712311154,-0.6462920363676197,93.75,200.0,0.0,-100.0,100.300978179082,-30.0,-8.482625946855837,6.633881460990727,98.73417721518987,0.0,180.0,-15.945945945945947,42.85714285714285,35.98369011213048,-9.3071000855432,1.4193190769320536,14.382891259665264,7.114862827856497,3.9529078648336498,450.0,0.0,104.34782608695652,103.4965034965035,5.511323674215783,-8.239700374531834,0.9990917347865576,18.161891341788007,4.156333104251949,-150.0,0.0088676066329697,0.0,12.415409745645857,23.479845137781822,-0.1459629714988092,12.5,-6.122448979591836,120.0,0.8968974393713589,98.51761185910512,74.62121212121212,-13.8996138996139,0.0,-2.964793082149475,-6.007592011883149,16.495717457967643,-8.967851099830796,-6.316026073274893,-97.36842105263158,-6.648147276237111,98.0968858131488,-24.75091767173571,1.062456931654451,6.491480681545476,-2.220053671627226,-6.666666666666667,-58.333333333333336,0.0,74.46808510638297,0.0,39.130434782608695,-92.3076923076923,-11.759729272419628,512.5,-5.956678700361011,1.182983835165696,94.77176220806794,-12.585421412300684,-0.1376693684385992,3.503442689347914,12.918757905904435,5.0464271295922485,-46.61016949152542,13.460601096465885,-94.11764705882352,13.20408537704116,1.44350360031252,31.93264789152138,122.50885179564996,1.9267955801104972,101.8867924528302,-25.49019607843137,0.0,0.5616991398981921,-0.6852898893071409,-21.30827434708323,120.0,-17.351841964762414,-23.809523809523807,0.0,200.0,-1.3205417607223475,-0.1376693684385992,-0.471099917836602,-10.696884563001124,-0.5647790495765265,0.0,-0.5831533477321814,-6.293706293706294,-9.674461256304449,-56.02141961945996,0.0,0.0,-6.333155934007451,101.93548387096772,-324.1935483870968,22.47745039085989,90.9090909090909,1.890902826211998,-2.673696455710453,0.0,79.83074753173483,10.09830908375934,0.7376582557589462,0.0,16.78066575467396,-1.9144534659858656,95.40816326530611,-14.457831325301203,96.29629629629628,0.0,9.31441252043915,-0.3574620196604111,7.3857627873323315,2.175264139216905,-0.3164556962025316,6.864446899163642,0.0,-0.0918203382049124,6.985544539468705,-0.4216959088583793,0.0,0.0,-5.319537431527693,-0.6615599779308928,5.953277370294968,0.0,100.0,0.0,-24.644549763033176,70.7740916271722,0.0,4.087829946274235,-1.4980444247657,-12.040845270174444,900.0,93.93939393939394,138.88888888888889,0.7636095377524795,6.804525696752749,27.472527472527474,-36.34093289293482,-74.81481481481481,0.0,-1.9068640646029609,220.00000000000003,-0.2408191829572368,-9.414225941422592,1.826604449854602,106.54205607476636,166.66666666666669,0.0,8.98876404494382,-5.393390370743164,3.1392632700333283,0.1851072780816154,-9.625058689382254,-6.305965443309371,-3.934557627478252,-0.9226888784608166,31.384615384615383,102.803738317757,85.06224066390041,0.0712178248041509,-17.58449539116048,0.2655820518535027,9.54640868850963,-11.942098914354643,-35.59322033898305,0.0,0.0,0.0,19.463087248322147,63.63636363636363,-20.32068062827225,0.6263048016701461,-100.0,127.77777777777776,-2.8477546549835706,-5.47398794873971,16.860861934477377,39.66201069149854,30.14381318524847,12.720343020485949,-11.796246648793565,75.92592592592592,-0.847457627118644,3.636363636363636,2.902598979839689,100.0,105.6932966023875,6.864446899163642,3.308084818438551,89.77272727272727,14.328250110650623,4.900873387225745,80.0,90.88447653429604,-2.8492531693234597,0.0,8.919776731968918,-6.067094932191292,-2.763385146804836,111.11111111111111,-7.150879820292025,0.0,17.355747387551112,2.902598979839689,1.542004058057,13.34183844759283,-5.234833659491193,-1.110488988428518,575.2873563218391,-29.48717948717949,0.5908606786022215,100.0,97.42096505823628,11.21227797896189,1.4523318794037292,-15.241442249191456,-1.3754628567683589,-2.8492531693234597,-18.21192052980132,-1.6666666666666667,-5.379618351603735,5.035882659567716,-17.86492374727669,-962.5,1.60921926910299,0.0,-8.13889035196625,104.76190476190476,-0.1988186556966967,8.958449095511515,25.95419847328244,-2.518436065117573,-24.80042575838212,-1.8685461399770529,117.85714285714286,-15.375894988066827,-68.42105263157895,0.0,-6.44259598108972,17.19777440566515,-8.409986859395532,-5.643531206210241,4.701222662304116,100.0,33.692142088266955,0.9758499867210155,31.696523111805217,13.264119236754697,True,True,True,79206061.40726557,13.264119236754697
03/31/2004,35.65147236789028,0.0,0.0,150.0,52.7087795951371,55.093353248693056,15.789473684210526,-92.0,-50.0,38.95582329317269,31.597414297229378,0.0,-81.48148148148148,14.780902550686722,73.5705209656925,117.15789473684212,62.21557588552662,0.0,55.97426470588235,0.0,21.72465165191482,45.37444933920705,-48.0,0.0,146.51929150075517,0.0,0.0,62.85143483362913,0.0,-50.0,58.83083214663891,-76.92307692307693,18.642857142857142,153.43586849160437,3.942335981170933,32.27172624089446,3.0303030303030303,7500.0,22.033898305084744,-28.44853159299911,66.73684210526316,0.0,16.157910184913412,0.0,42.0279325098894,43.02698888692891,-100.0,-68.455551003687,46.96189495365603,-50.0,-65.40627514078842,45.37444933920705,7.6923076923076925,-65.14072566971855,0.0,-96.27669282715824,0.0,-7.6923076923076925,183.4224598930481,-67.07375767055709,-67.3982813955896,-40.0,32.673211464680655,4.404145077720207,412.5,33.018441000113135,0.1317523056653491,119.12568306010928,32.020188778185634,38.45630448649798,-3.616916006549317,0.0,18.654755648975303,0.0,0.0454290602509651,52.61105298202226,103.02340702210664,-70.0,4.404145077720207,86.62397723230167,0.0,-74.67388629091805,339.2857142857143,0.0,0.0,0.0,-57.89473684210527,23.694779116465863,38.06325319630513,0.0,77.18120805369128,12.224,-29.82456140350877,-61.69549191947831,32.46858862277884,-65.90973602043712,-71.42857142857143,53.29207662622119,122.23816355810617,-7.151209305188012,0.0,76950.0,42.42853274167265,-8.19672131147541,400.0,29.029627616200056,36.27294916693197,0.0,0.0,37.06697708508482,28400.0,138.73239436619718,30.18715660495363,-54.19799498746867,38.855213197136834,231350.0,-15.162228851323976,-53.333333333333336,47.70186335403727,-73.17265902805215,-69.2982456140351,34.83309143686502,-34.15559772296015,0.0,0.0,52.61864117446228,-63.33333333333333,447.2691161866932,-36.95652173913043,-59.221902017291065,0.0,100.0,-9.523809523809524,-11.62925416364953,59.31758530183727,-70.08196721311475,42.32365145228216,141.8848167539267,-100.0,163.63636363636363,51.28205128205128,-100.0,33.05020460057481,-77.77777777777779,17.997925311203318,86.68357641090678,1.6260162601626018,36.36363636363637,-63.52201257861635,32.46858862277884,606.25,-81.25,-100.0,0.0,0.0,-52.7047913446677,0.0,62.57477243172952,-0.195812622382889,-41.58415841584159,0.0,-100.0,40.0,0.0,15.766550522648084,183.4224598930481,6.808538416345715,16.273088613514144,10.883392226148407,173.5632183908046,-60.0,0.0,-65.34400544959128,-41.17647058823529,20.003731343283583,418.5714285714286,447.3919523099851,-6.878174180199386,2.1885521885521886,104.74308300395256,18.73716632443532,0.0,59.529690742021536,37.5,0.0,0.0,220.00000000000003,-60.0,-10.909090909090908,-69.1462383770076,100.0,100.0,0.0,87.5661943019285,25.23033309709426,12.964426877470355,6.811145510835913,25.0,0.0,33.81476547710861,100.0,0.0,16.611157368859285,38.49627012171182,-9.523809523809524,100.0,-100.0,0.0,100.0,400.0,0.0,0.0,0.0,0.0,426.0273972602739,24.87383540372671,-65.40627514078842,0.0,38.76090931593698,100.0,123.40136054421768,3550.0,-24.72446730345334,36.01755177078636,100.0,80.42936940574737,35.51889444731061,0.0,-65.2356509566029,-13.554423062295582,-100.0,0.0,0.0,12.224,60.18917116352392,-7.285974499089254,54.54545454545454,0.0,-100.0,0.0,0.0,46.96189495365603,38.76090931593698,77.13189664899018,9.864496138371178,33.12718177070449,0.0,622.2222222222223,-48.0,0.0,71.52542372881356,0.0,16.143497757847534,-99.65870307167236,-60.32482598607889,-99.53917050691244,17.57188498402556,0.0,40.66160236500393,0.0,100.0,70.3125,-0.1757083241818581,38.45630448649798,0.0,0.0,20.86553323029366,-69.86062717770035,-100.0,-79.48717948717949,0.0,47.814407814407815,16.666666666666664,135.7886200837951,24.14874551971326,5.343511450381679,7.5691411935953425,0.0,17.215843467626875,-40.78982102317724,4.533678756476684,0.0,0.0,6.122448979591836,51.39692252719031,45.55475504322767,0.0,0.0,0.0,0.0,10.526315789473683,0.0,2.740362285183465,-1.4791183294663572,97.86096256684492,0.0,-43.02325581395349,-77.27272727272727,28.504362905123376,11.392968402314196,-66.8918918918919,-4.137931034482759,100.0,0.0,23.79445533464016,0.0,38.798319957337846,0.0,40.6570380902492,-72.70011947431301,-55.00000000000001,0.0,-35.30632332207177,28.92892892892893,35.88817228580702,5743.396226415094,-11.716147719044171,19.82130260992241,81.28941836019622,44.50788964249405,0.0,-72.8395061728395,-45.13274336283185,80.16704229086571,100.0,26.631293745766538,123.7187127532777,0.0,-72.3076923076923,0.0,0.0,0.0,0.0,-60.0,0.0,32.35294117647059,73.13399778516057,400.0,68.65869853917663,15.28466404513592,-7.841531775524343,1847.761194029851,-3.508771929824561,214.0243902439024,56.896551724137936,75.0,100.0,0.0,65828.57142857143,-50.0,-64.17370325693607,7.5691411935953425,-7.679602134533706,-70.37037037037037,82.32161874334398,4.933485227105688,-79.7872340425532,-68.7382297551789,69.17631917631918,0.0,-0.1757083241818581,-8.996539792387544,-7.18954248366013,-50.0,18.17351598173516,0.0,0.0,65828.57142857143,35.21294828524132,-26.393159828995728,20.392953929539296,65.93137254901961,100.0,100.0,74.03685092127303,-90.54545454545456,-61.88725490196079,101.48925948802416,22.35549132947977,7.210790247276499,33.048600883652426,69.17631917631918,-42.85714285714285,1.9230769230769231,45.83333333333333,6.543964826938822,100.0,-10.0,58.78048780487804,0.0,2.914997774810859,-54.644808743169406,58.75100586274284,-7.135381395062488,0.0,20.720804619109703,0.0,0.0,-78.94736842105263,32.917665867306155,-24.0,0.0,-3.708607240346376,20.22267092938471,-5.797101449275362,57.31615673644659,14.507042253521126,-63.63636363636363,121.875,4.411535813744723,21.360956415771803,11.191304054555555,True,True,True,357898499.48556274,11.191304054555555
