quarter,RCONA567_qoq,RCFD8719_qoq,RCFDA556_qoq,RCONB550_qoq,RCFDB559_qoq,RCFDB857_qoq,RCON3499_qoq,RCFN6631_qoq,RCFDA557_qoq,RCFD3368_qoq,RIAD4460_qoq,RCFD3819_qoq,RCON3485_qoq,RIADB492_qoq,RCFD1773_qoq,RIAD5409_qoq,RCFDB560_qoq,RCFD8703_qoq,RCFD0081_qoq,RCFD2107_qoq,RCFD8742_qoq,RCFD1255_qoq,RCFD3815_qoq,RCFNB572_qoq,RCFN3360_qoq,RCONB563_qoq,RCFD8747_qoq,RIAD4020_qoq,RCON5370_qoq,RCFD5390_qoq,RIAD8757_qoq,RCFD8733_qoq,RCFD5377_qoq,RCFD0416_qoq,RCONB551_qoq,RCFD3839_qoq,RCFDB860_qoq,RIADB514_qoq,RCON5512_qoq,RCFD3200_qoq,RCFD8745_qoq,RCFD6165_qoq,RCFD3163_qoq,RIAD4646_qoq,RCON2210_qoq,RCON6636_qoq,RIAD4415_qoq,RIAD4093_qoq,RCON1752_qoq,RIAD4070_qoq,RIAD4300_qoq,RCON2107_qoq,RCFD1583_qoq,RIAD4074_qoq,RCFD3529_qoq,RCFD3433_qoq,RCFNB573_qoq,RCFD5389_qoq,RCON5399_qoq,RCON0090_qoq,RCFDB571_qoq,RIAD4010_qoq,RIAD4628_qoq,RIAD3217_qoq,RIAD4643_qoq,RCFD8715_qoq,RCFDA559_qoq,RIADB508_qoq,RCFD1739_qoq,RCFDB530_qoq,RCFD0010_qoq,RCFD3210_qoq,RCFDB850_qoq,RCFDB805_qoq,RCFD8710_qoq,RCFD5380_qoq,RCON9999_qoq,RCON2200_qoq,RCFD3381_qoq,RIAD4313_qoq,RCFD8711_qoq,RCON0070_qoq,RCON5511_qoq,RIADB497_qoq,RCFDB558_qoq,RCFD5382_qoq,RCFD8700_qoq,RCFD8748_qoq,RCFD6558_qoq,RCFD3822_qoq,RCFDA570_qoq,RIAD5410_qoq,RCFDA589_qoq,RCFD1590_qoq,RCFDB537_qoq,RIAD4092_qoq,RCFD1763_qoq,RIAD4107_qoq,RIAD4172_qoq,RCFD3230_qoq,RCON2385_qoq,RCFD8498_qoq,RCFN2200_qoq,RIAD4056_qoq,RCON2165_qoq,RCON3129_qoq,RCFD8738_qoq,RCFD2081_qoq,RCFD2930_qoq,RCFDA574_qoq,RCON5508_qoq,RCFDB534_qoq,RCFDA591_qoq,RCFD8704_qoq,RCFDA554_qoq,RCFD8697_qoq,RCFD3365_qoq,RCON2192_qoq,RCONB561_qoq,RCFD3353_qoq,RIAD5411_qoq,RCFDB556_qoq,RIAD4135_qoq,RIAD4024_qoq,RCFD2145_qoq,RCON0082_qoq,RCFDA222_qoq,RCONB562_qoq,RIAD4185_qoq,RCFN5513_qoq,RCFDB533_qoq,RCONB535_qoq,RIAD4635_qoq,RCONB534_qoq,RIAD8759_qoq,RCFD8739_qoq,RCFDA590_qoq,RCFDA551_qoq,RIADA220_qoq,RCFD3546_qoq,RCFDA248_qoq,RCFD3430_qoq,RCON3495_qoq,RCON1545_qoq,RCON3500_qoq,RCON3360_qoq,RCFD1252_qoq,RCFD8714_qoq,RCFDA575_qoq,RCFD1741_qoq,RCFDA555_qoq,RIAD4060_qoq,RCON1763_qoq,RCFD1744_qoq,RIAD4069_qoq,RIAD3584_qoq,RCFD5460_qoq,RIADB489_qoq,RCFD0071_qoq,RCFD3401_qoq,RIAD8431_qoq,RCFD1771_qoq,RIAD3589_qoq,RCON5510_qoq,RCFD8699_qoq,RCFD8694_qoq,RCFD0090_qoq,RCFN3404_qoq,RCFD3530_qoq,RCFD3548_qoq,RCONA566_qoq,RCFDA549_qoq,RIADB512_qoq,RIAD4301_qoq,RIAD4507_qoq,RCON3387_qoq,RCFD1286_qoq,RCONB531_qoq,RCFNA245_qoq,RCFD3820_qoq,RIADB496_qoq,RCFD6550_qoq,RCFD8727_qoq,RCONB549_qoq,RCFD8741_qoq,RCFD8726_qoq,RIAD4618_qoq,RCFD3507_qoq,RIAD5412_qoq,RCFD6164_qoq,RIAD4079_qoq,RIAD4065_qoq,RCFDB576_qoq,RCFD3432_qoq,RCON0352_qoq,RCON3386_qoq,RCFD3547_qoq,RCFD1253_qoq,RCFD2150_qoq,RCFD1254_qoq,RCON0010_qoq,RIADB485_qoq,RCFDB849_qoq,RCFD8737_qoq,RCFDA571_qoq,RCFD8735_qoq,RCONB552_qoq,RIAD5415_qoq,RIADB515_qoq,RCON2081_qoq,RCON2216_qoq,RCFD1248_qoq,RCON2213_qoq,RCFD1256_qoq,RCFD1287_qoq,RCFDA573_qoq,RIAD4340_qoq,RCFD8695_qoq,RCFD3300_qoq,RCFD8707_qoq,RCFD8499_qoq,RCFD8696_qoq,RCFNB554_qoq,RCFD8709_qoq,RCON3494_qoq,RCONA564_qoq,RCFDB528_qoq,RCFN2898_qoq,RIAD4302_qoq,RCFNB553_qoq,RIAD4059_qoq,RCFD6560_qoq,RCON1590_qoq,RCFD1772_qoq,RCFD3128_qoq,RCFD5591_qoq,RCFD8734_qoq,RIAD4115_qoq,RCFDB837_qoq,RCFD6559_qoq,RCFD1752_qoq,RCFD2170_qoq,RCON6631_qoq,RCFDA127_qoq,RIAD4150_qoq,RCFD8496_qoq,RCFD1746_qoq,RCFD8746_qoq,RCON2377_qoq,RCON2203_qoq,RCFD8706_qoq,RIADB522_qoq,RCFD8712_qoq,RIAD0093_qoq,RIAD5416_qoq,RCFN2625_qoq,RCFDB536_qoq,RCON2122_qoq,RCFD3826_qoq,RIADB507_qoq,RIADB511_qoq,RCFD3190_qoq,RIAD3210_qoq,RCFDB852_qoq,RCFD3814_qoq,RIAD4073_qoq,RIAD4645_qoq,RCFD8765_qoq,RCFD3000_qoq,RCFDA572_qoq,RCON0080_qoq,RCFD1251_qoq,RCONB539_qoq,RCFD3355_qoq,RCFD8705_qoq,RCFD8723_qoq,RCFDB861_qoq,RCON6810_qoq,RCON2215_qoq,RCFD5381_qoq,RCFD8744_qoq,RCFN2133_qoq,RCFD2148_qoq,RCFNB555_qoq,RCFDB856_qoq,RCFD2746_qoq,RCONA565_qoq,RIADB491_qoq,RIADB487_qoq,RIAD4655_qoq,RCFDB704_qoq,RCFDA562_qoq,RIAD8758_qoq,RCFD8716_qoq,RCFD5459_qoq,RCFD1250_qoq,RCON1797_qoq,RIAD3588_qoq,RCFD2948_qoq,RCFDB845_qoq,RCFD2122_qoq,RCFD5391_qoq,RIAD4012_qoq,RIADB488_qoq,RCFD1754_qoq,RCFD8701_qoq,RCON1460_qoq,RCFD3817_qoq,RCON5367_qoq,RCFD3484_qoq,RCFDB851_qoq,RCFD3164_qoq,RCON0020_qoq,RCFD8724_qoq,RCON5597_qoq,RCFDB532_qoq,RIAD4200_qoq,RIAD4230_qoq,RCON6648_qoq,RCFDB841_qoq,RCFD2160_qoq,RCFD8720_qoq,RCFDB844_qoq,RCON2202_qoq,RCFD0211_qoq,RCFD8728_qoq,RCON1764_qoq,RIAD8760_qoq,RCON2236_qoq,RCFD8740_qoq,RIAD4356_qoq,RCON3493_qoq,RCON1420_qoq,RCON5368_qoq,RCFN2650_qoq,RCFD1764_qoq,RCFDA561_qoq,RCON5400_qoq,RCON2520_qoq,RCFDB575_qoq,RIADA251_qoq,RCFDB538_qoq,RIAD4508_qoq,RIAD4080_qoq,RCFDB539_qoq,RCFD8713_qoq,RIAD4617_qoq,RCON2530_qoq,RCFD8693_qoq,RIAD4180_qoq,RIAD4217_qoq,RIAD3123_qoq,RCFD8497_qoq,RCON3190_qoq,RCFDB804_qoq,RCFD2130_qoq,RIAD4513_qoq,RCFDA558_qoq,RCFDB853_qoq,RCONB538_qoq,RCFDB529_qoq,RCON2365_qoq,RCFDA553_qoq,RCFDA552_qoq,RCFD2651_qoq,RCFD5461_qoq,RCON6835_qoq,RIADB493_qoq,RIADB486_qoq,RCFD5369_qoq,RCFD2168_qoq,RCFD8698_qoq,RCONA569_qoq,RCFD3123_qoq,RCON3501_qoq,RCFD1594_qoq,RCFD8736_qoq,RCFD8725_qoq,RCFDB840_qoq,RCFDB570_qoq,RIAD3196_qoq,RCFD3632_qoq,RCFD0213_qoq,RCFD3450_qoq,RIAD4605_qoq,RCFDA247_qoq,RCFN6636_qoq,RCFD1249_qoq,RCFD0022_qoq,RCFDB848_qoq,RCFD8708_qoq,RIAD4644_qoq,RCFD3545_qoq,RCFD1597_qoq,RCFD5378_qoq,RCFNB574_qoq,RCFDA126_qoq,RCFD8702_qoq,RCONA568_qoq,RCON5398_qoq,RCFDA560_qoq,RCFD3821_qoq,RIAD4518_qoq,RCFDA550_qoq,nn_score,lof_score,ensemble_score,nn_anomaly,lof_anomaly,is_anomaly,reconstruction_error,anomaly_score
12/31/2020,-17.75976418570376,6.175142921319006,-4.56651224354732,6.357327269712688,0.4871936419477231,0.0,1785.7142857142858,9.713368697900416,-24.573378839590443,4.173461308738349,0.0,5.882549923538013,3.7310313931007935,3.7069726390114734,-0.3612225995677678,0.0,-7.323125714344554,-14.66954212821092,19.07807349830275,1.5999363209424502,48.225214198286416,0.0,-0.6565736570941486,0.0,8.597432146920202,7.089007260631003,1.090909090909091,17.82477341389728,-3.912961516710204,0.0,13.56135613561356,1.196561676440229,0.0,5.3041794615659725,-12.090909090909092,0.001735418149003,10.464355788096794,23.1203007518797,0.0,-1.5974440894568689,-5.649717514124294,-12.5,0.042438464226871,36.79653679653679,9.15273048549266,7.03008319127061,0.0404122044857546,30.559592257955813,-5.271422162404666,36.2448198916162,79.84429805800325,1.5999363209424502,-66.66666666666666,32.12886585395528,-100.0,11.329613205009156,0.0,0.0,0.0,-4.958258602675669,-8.854568170339457,31.018906306090702,38.46153846153847,0.0,0.0,-14.050162805455283,-7.464829170255527,0.0,-5.88235294117647,-5.30933633295838,8.0732022820875,3.395203528438849,0.0,-1.549386271990074,2.5380208262454738,-100.0,0.001490030409491,6.62195075443872,-0.694690343393399,31.77570093457944,-14.23044346371415,-60.09280742459397,0.0,23.18370088436136,14.47583000397187,0.0,-16.79206746606931,0.0,231.50684931506848,-10.682178741406664,8.067634426583895,0.0,4.392122665503961,3.599374021909233,4.403834631515878,31.454284725312764,-2.230177290602422,30.00328911303585,-53.52941176470589,0.0,5.509436284881172,-2.6021309632167906,8.644747668678002,0.0,-20.82018927444795,5.756701227071892,28.103198319476903,18.439068918302144,2.754972593886881,1.6493774477463186,0.0,50.0,-3.98880173161722,-5.153960429468567,-5.43060416547134,-48.74284545787262,21.187847942154185,4.117867156484006,0.5746531785006487,3.020011205721836,16.346153846153847,4.476058292852185,28.705924149569235,26.08695652173913,0.5377276669557676,54.929577464788736,-29.42586599544528,6.964558857031275,17.336010709504684,8.0,108.33333333333331,7.568807339449542,27.418452935694315,50.0,106.23451692815856,12.389926596305392,8.620689655172415,25.08547563403445,36.11732537907034,3.931999166813543,-7.900199002845955,6.209422683170252,0.0,5.950036280709028,100.0,-0.1329876175485689,22.4,1.1866947538253996,5.714844896760936,0.0,9.780439121756489,26.17662612374405,-2.6690826846898084,8.535421042581632,31.134094151212555,0.0,40.0,28.13487881981033,7.594679467433344,4.295269293315836,9.090909090909092,41.70873679273911,0.0,-24.04371584699453,-14.444444444444445,-24.34600627833973,-4.958582056535323,5.119412789191078,-92.3076923076923,10.23534655282407,-1.1646981627296589,-5.694475732772646,0.0,82.3071241522863,31.41542002301496,-6.59175011527139,-6.535226544857799,0.0,-6.527239964727984,1.2345348401263991,-172.22222222222223,27.59213981707869,9.38366718027735,11.169974326582176,5.334846765039727,6.200302343159486,360.0,8.718861209964412,43.13725490196079,-1.2174875484228,31.31365755815468,11.11111111111111,37.07201889020071,-0.0695144576261042,5.398247067136486,0.4702194357366771,17.884393063583815,-17.05665024630542,-14.334470989761092,-72.05882352941177,-3.8365116294057375,30.807276385279568,-13.448735019973368,0.5352802746807608,-21.942682126449355,4.899257190466691,2.5340136054421767,300.0,34.704830053667266,0.0,-8.779026217228465,100.0,0.5246128957707419,-6.713780918727916,-6.75457916049109,2.5478826216833594,79.86829727187205,4.985226002236065,5.396562061578543,-21.331627405233185,-2.1885774246739618,6.9670632576716445,12.814645308924485,-2.8159963585700902,0.0,-6.3703185159257965,2.6932879327245525,-7.729125378603746,91.29213483146069,11.429949623353872,31.929824561403507,-93.14641744548288,3.674121405750799,-0.0994158336109457,0.0,0.0,28.525239360368943,5.799151343705799,4.203296703296704,0.0,-4.584178498985801,5.396562061578543,5.714332899664748,-1.1200274588783343,-0.6255585344057194,-0.6515668631709587,8.397520195378545,125.03160556257902,-24.63742059211315,36.41198369083496,35.664819944598335,0.0,-12.181390336698117,18.347509113001216,64.1025641025641,6.101712399422323,0.0,1.3335582556159815,1.6362813689851423,0.0,-6.629292221443587,-3.4467397475651835,3.395203528438849,-11.370262390670554,-2.9375584313339567,10.625554569653948,37.06030150753769,-26.50292066821785,-15.942028985507244,0.9967260009162728,17.367900692079534,60.19607843137255,12.11514392991239,-11.840294422366204,-15.39068261245952,-8.688421926283624,10.012919896640827,6.824620687409352,9.785407537535631,100.0,0.0,-3.0335861321776814,2.973977695167286,68.23529411764706,0.0,4.184773861258651,3.108991344285462,100.0,29.13309700290042,0.0,3.1405988705634664,-1.3465380939970464,20.50328853302831,-18.04941101220617,56.824512534818936,11.11111111111111,-5.663076739657433,0.0,5.597476852366428,0.0,2.887842098333767,0.0,32.11307707952003,25.216763005780347,42.51057011568894,-8.240654109103186,-1.615890484498725,0.0,-1.5801958463164294,-23.49726775956284,0.0,8.620689655172415,22.356792144026187,-7.523446648482468,7.352863909725816,0.0,23.07692307692308,-8.077617328519855,-15.764234834023927,7.6923076923076925,4.663093415007657,-2.9421144490638462,0.0,214.28571428571428,104182.35294117646,0.0,-8.120157095849697,9.79498861047836,-17.01184203662163,9.061454849498327,0.0,0.0,-6.862745098039216,-10.645526613816534,-11.59304120650754,9.52521235331664,-14.839719970523213,5.755395683453238,0.0,-10.833333333333334,0.0,3.1568730408770507,12.385919165580182,35.35821302097521,11.377758731519178,-1.877395855842552,63.04347826086957,2.9606533036377134,13.483075884025324,-0.5736137667304015,35.65031982942431,-8.061426577059185,0.1963004907512268,-7.088467208569457,-16.676201372997713,0.0,2.985074626865672,-21.21212121212121,-10.582777616700492,3.1568730408770507,3.046307930205073,21.709257896028326,16.199900140710817,23.288012351212707,-39.93208150219736,-22.401289282836423,3.931901094446697,0.0,34.11392405063291,10.182212077836668,5.414595214738208,-3.170114827883238,0.4123525162533109,-8.061426577059185,9.803921568627452,875.0,8.942338437488898,4.067631656577219,7.6923076923076925,0.0,9.562841530054644,6.915602689812483,100341.50943396227,-7.453174181691279,36.76855895196506,26.3544198445199,8.571568121666875,0.0,19.361198738170344,-13.324360699865412,-9.90010735275387,69.00584795321637,-0.205198588502824,0.0,0.0,5.88235294117647,-9.32775829611974,7.837837837837839,-0.70902829360524,-12.592592592592592,12.514610168083678,-4.785431959345003,95.80152671755724,-6.3487436600011655,100.0,99.99999999999575,99.9999999999983,True,True,True,1031262511.7055595,99.9999999999983
12/31/2001,16.174716756112105,228.70036101083036,2.2758620689655173,2.084568439407149,-7.129468934397779,0.0,100.0,2.837837837837838,2.299749687108886,42.41407337467027,390.0,45.20805454661314,80.3921568627451,-12.386706948640484,-9.679621759093314,4.166666666666666,-10.51214587285076,26910.526315789477,5.899821817461889,6240.0,10.666666666666668,-88.63636363636364,0.0,0.0,18.15844099513585,5.639718014099295,0.0,117.54498714652956,-4.1297000422475705,0.0,140.71969696969697,62.19778515000358,0.0,-7.986870897155361,14.41048034934498,25.992921745969326,0.0,0.0,100.0,48.96931549960661,-19.230769230769237,28.57142857142857,3.143534994068802,126.50602409638554,28.27374343030572,8.902530754858903,2.097902097902098,76.00477949163589,25.116279069767444,53.7146614069691,4.070723684210527,6240.0,0.0,55.32198865532199,0.0,23.92646200775916,100.0,100.0,0.0,-62.33023588277341,7.73434216057167,41.09806798728295,38.46153846153847,0.0,100.0,209.50244291554492,2.303676804357694,0.0,100.0,-249.39759036144576,-37.49123907189495,34.07882011605416,0.0,0.3904544170155924,-21.126104306507045,0.0,0.0015041779667411,9.107388679142415,-31.742388012115413,100.0,214.90765970330003,-73.40425531914893,0.0,32.21153846153847,-19.70475910693302,166.66666666666669,44.28480430320617,0.0,-85.62874251497006,-11.50070126227209,3.3800782125688094,100.0,44.49428122897511,5.405405405405405,35.46148507980569,100.07102272727272,-4.609909958483851,63.95332875772135,37.086867505118455,21.88274153592073,3.8034476930877137,172.38805970149252,5.215726722841859,0.0,11.251964379256156,-2.504415796162054,110.31933678508364,166.41366223908918,-1.9826676473409868,11.912503694945316,0.0,100.0,27.97747942832395,-13.65979381443299,278.4810126582279,-13.460514424229942,100.0022338880822,2.2225022666092573,0.0,63.88739181434867,0.0,88.31168831168831,68.39254766031195,100.0,19.50477845351868,41.96428571428572,0.0,6.282426186208848,194.9367088607595,0.0,2.2280471821756227,-33.54487760652765,104.147465437788,100.0,610.3225806451613,838.3802816901408,35.48941041785918,-11.8558042686101,116.33266533066131,250.7537688442211,38.0622009569378,100.0,0.0,-43.90354868061874,0.0,10.794862325085148,0.0,-24.60267437237581,0.0,100.0,2.2222222222222223,50.0,-3.534592981957665,-7.415621318178668,363.3774160732452,0.0,0.0,26.993865030674847,-63.26512612453696,143.5847490100907,60.33057851239669,-4.602510460251046,0.0,-7.6923076923076925,0.0,30.98927294398093,-62.33023588277341,13.809260006948293,0.0,122.79459733732814,-8.270292373747699,19.514429683921207,0.0,7.696915244085055,400.0,11.367385412984564,-44.29906542056074,1.6414970453053186,-11.57095361808041,11.55834564254062,-30.0,0.8717948717948718,0.0,32.78130188598919,-18.227341011517275,-13.895820336868372,145.45454545454547,2723.913043478261,0.0,1325.0,74.13268411442483,34.81308411214953,0.0,0.0,6.611147636788663,43.18181818181818,80.134669287026,21.96969696969697,-4.651162790697675,53.333333333333336,0.0820392616466451,0.0,0.0,56.159629495970165,31.48141458656937,721.7948717948718,-11.446740858505564,0.0,0.0,8466.666666666668,-4.181184668989547,0.0,267.7477477477478,112.29773462783172,-46.05665375993478,-5.149781218444968,4.072398190045249,161550.0,23.694747712171772,94834.375,190.6716417910448,4.111986001749781,-89.74964572508266,93.0960885280733,0.0,16.193727330915298,5.711902892172081,-2.838427947598253,17.420066152149946,22.66851762117422,48.16072439162422,-18.181818181818183,21.951219512195124,-8.525301952135633,0.0,0.0,114.81300713806355,-44.18079096045198,-38.2830626450116,0.0,24.43438914027149,23.694747712171772,9.369946510760045,10.290886122013514,23.318574355971897,0.0,-7.441604079101495,-53.84615384615385,100.0,-31.746031746031743,165.5487804878049,0.0,-2.0661299796151056,25.95078299776286,-187.5,3.4957706415150835,-97.0909090909091,6.070908578093198,71.41061660896679,0.0,-119.43396226415096,9.196283168885907,34.07882011605416,0.0,-1.4903129657228018,69.98600746268657,135.71428571428572,-91.5331210872706,1.7543859649122806,1.4263784060381222,29.0437890974084,-29.01408450704225,-0.8695652173913043,-6.370569762225213,344.8839953799026,362.3086318844306,0.0,5.078817497963682,31.209944362279035,0.0,0.0,35.87912087912088,255.7894736842105,180.5555555555556,0.0,16.747141041931386,-26.77407890060419,-460.6060606060606,186.95652173913044,0.0,30.470314730791305,0.0,2.2033898305084745,-2.993826095954196,361.1111111111112,450.0,8.389261744966444,0.0,23.072137331013906,0.0,7.426500735595591,-65.625,32.3996971990916,31.62878787878788,-4.329004329004329,155.3958648512355,165.60509554140128,0.0,-0.5246130978403427,5.198125266297401,0.0,35.33123028391167,-0.9635889740146908,0.3238390324025683,0.0,-100.0,90.76433121019107,219.6629213483146,-7.211811470755252,0.0,28.48944233892799,-14.350553156617393,0.0,416.6666666666667,0.0,0.0,129.07801418439718,-63.07692307692307,0.0,-25.19409937888199,99436.36363636365,100.0,-27.27272727272727,-1.561319566859733,-3.966527196652719,14.24681598594642,-88.92988929889299,-50.0,217.85714285714283,0.0,308.69565217391306,0.0,126.3157894736842,37.6770538243626,-0.8695652173913043,48.86883908523592,30.76923076923077,70.06369426751591,38.20566040084872,102.69129287598945,58.8626739261948,32.69854132901134,0.0,-22.66063630692452,-33.99014778325123,-1.36986301369863,33.33333333333333,2.2926741895038507,0.0,0.0,5.300272553660934,100.0,-44.17325056433409,-34.31998452311859,-100.0,33.33333333333333,-1.3324666883327916,100.0,35.478680611423975,185.57874762808348,23.647725621275978,2.9627782093547954,0.0,32.69854132901134,75.0,0.0,-17.684640940454894,-8.382276410675786,0.0,14.138163245673107,46.588693957115005,51.76205243868057,0.0,26.41489399355821,50.92592592592593,11.82729484448662,5.380172703824156,100.0,1.5971923793152845,0.0,20.98765432098765,85.36585365853658,132.9734301920589,0.0,0.0,450.0,31.635912073432294,-86.18677042801556,22.42410813206293,47.61904761904761,2.28476821192053,-1.8565565761188196,0.0,54.54545454545454,2.5090665943784547,23.049965295751388,10.72542607492763,True,True,True,25940930.742451616,10.72542607492763
09/30/2013,-3.057109405489788,16.963619677111634,-0.9345794392523364,3.257507055742485,3.499588723547446,2.685109845402766,-75.0,7.332619448268829,-19.201995012468828,-0.6059734551039104,0.0,-0.4755033001348442,10.458143049844796,17.669172932330827,-0.542132046593404,0.0,-6.03290340369474,-6.079000504795558,10.51040967092008,-0.4582484725050916,-48.36146971201589,100.0,3.542363351188186,66.66666666666666,-0.0910911091469903,1.3865200728707532,0.0,45.62780269058296,-12.117474103989592,0.0,24.371859296482413,-3.783513480715233,0.0,-14.86762836456088,-6.76771237222418,3.244309246990281,-8.454312553373185,44.312796208530806,-42.30769230769231,-8.236602488357544,-9.233933161953727,0.0,0.1574168985210133,650.0,19.375431575090545,4.256850969205953,4750.943396226416,67.60477085205457,-9.398928024502297,51.28626163108921,3.941176470588236,-0.4582484725050916,100.0,50.12748907236523,0.0,1.9280992037402291,0.0,0.0,-45.69037656903765,28.070591022148527,-10.743897265820832,49.18018335684062,17.75700934579439,0.0,0.0,4.887335278141032,-22.306578093002347,0.0,-3.7908496732026142,7.887323943661972,15.51248399674966,2.0590199488220478,0.0,0.4198673011986336,-7.546827985937352,0.0,0.001490266325495,6.6287124553894365,19.8631002769404,49.16666666666666,-3.3601627488527823,-9.174311926605505,-33.33333333333333,61.42691415313225,-6.629636265902168,0.0,-16.289274277923973,68.42105263157895,-15.0,-6.588855421686747,-0.9247011561826376,550.0,-1.7629730342170855,-0.3575685339690107,-5.272874639769452,113.8211382113821,0.5536013598054723,49.68455081078263,47.53086419753087,0.0,4.379438014159165,18.691676878122347,5.908521547930516,0.0,-2.0592020592020592,1.8075314943527363,-7.323464566929133,2.5673940949935816,-1.100273453480611,3.479421122857436,0.0,13.725490196078432,1.021953435658945,-0.5371916777107271,19.545024751098502,-4.988741465260792,-3.024890203032261,4.75632775523788,3.4980806142034546,-10.455659378908704,42.14711729622266,-3.8487060384870606,44.10896708286038,50.0,0.578088578088578,5.968169761273209,-100.0,0.0663590975162737,49.5609756097561,0.0,4.387056627255756,70.73509015256589,46.98555057299452,11.76470588235294,15.523059617547808,9.704488110711829,1.6604177825388324,2.339100346020761,25.507361719060885,9.171320342093958,-4.75674210597642,-23.25785901327532,100.0,3.737024221453287,-25.0,-0.7573517750187478,-11.627906976744184,-7.458011556947669,-4.292360798439142,-3.2432432432432434,-100.0,51.36948015651201,1.2006985006322637,-4.231175972927241,43.2546671363156,0.0,-62.16216216216216,58.4423305588585,15.937662535361351,-11.403371553144398,44.06779661016949,76466.66666666666,0.0,0.684931506849315,3.443396226415094,-24.356286956793795,28.070591022148527,-3.343948100312513,0.0,0.951279665380828,-1.1963511290563782,4.362832789645375,250.0,7.733774168044275,68.40390879478826,-5.80283512100469,0.6222345132743363,4.066312167657179,-4.993199677614346,-0.1958290946083418,300.0,-8.351254480286737,0.0,16.297489299739667,-7.245201405785346,2.6419066340436506,54.54545454545454,-3.7946428571428568,54.34782608695652,-0.0673854447439353,40.127569099929126,44.82758620689656,-2.197802197802198,-8.558656544343172,-0.9069244009003046,2.481389578163772,-6.119598869296002,-10.780669144981411,3.984899328859061,520.0,26.46396075187541,50.56390977443609,-6.875383670963782,-4.019315883197041,-1.553975863779137,5.14710217557927,-1.5246636771300448,4.651162790697675,49.18032786885246,-100.0,105.38800406641818,33.33333333333333,14.741082374919726,77.41935483870968,0.5204766470346528,3.301671657181384,3.935616841692021,-22.91201117318436,2.160444071601001,-4.879562153118033,18.025608072730734,2.004960420596141,4.1430192962542565,3.1700165226137944,0.0,-7.782998718496368,0.6663322831092476,-4.685524652338811,18.152437382170756,2.9140457082010527,50.74750830564784,-30.76923076923077,9.403669724770642,-0.6371808395830357,0.0,0.0,-6.5448225677690095,62.419006479481645,9.148793565683649,-100.0,-9.217719132893496,2.160444071601001,10.165861189786298,-2.265651215643208,0.1309423853504458,0.0,-4.024235092915094,590.8771929824561,24.820342730790493,3.603182030884417,44.38338096284898,0.0,-0.0179830702238892,51.60142348754449,36.25954198473282,8.360293960105414,0.0,0.7147611931799215,4.564469694288108,0.0,4.868355688027819,-3.407275821403514,2.0590199488220478,8.027995059695348,-4.4148446008209765,46.98928703361655,53.39366515837104,-12.422658401611743,0.390625,5.323545740546543,4.680457644747486,-44.20289855072464,-11.206403659233848,-5.503768629018444,8.985896745696325,0.5381787942067923,-8.557046979865772,4.998434491406341,17.007656967840735,20.0,-41.49978696207925,-1.9253533876471,-23.118996798292425,-53.57142857142857,2.7991218441273324,21.99250549166559,-7.435214337612013,252.6315789473684,48.023715415019765,0.0,-3.628613991318309,1.0729916701962443,31.282952548330407,-20.72331928111826,-5.475504322766571,57.14285714285714,-3.3915550279803286,50.0,2.1692355568470987,0.0,0.6787257315621178,0.0,46.42045454545455,48.888888888888886,75166.66666666666,-9.7318178082258,4.733656466276013,0.0,2.892492222106101,-4.826732673267327,0.0,1.6604177825388324,3.502605744758211,-4.223748778127625,11.52754459008741,0.0,49.48096885813148,-670.8661417322834,-6.94665849172287,-33.39285714285714,-8.838248744542426,4.072837138350574,0.0,8.641975308641975,0.0,-16.389968209113388,-12.634013033424427,50.29126213592233,74.97453310696095,-31.08211818879509,-25.0,-33.33333333333333,-17.09090909090909,-5.964710395090142,29.968165684803687,5.650567432040116,3.708496635361976,-4.946833102172908,-8.695652173913043,5.445544554455446,-166.66666666666669,2.0000845701721004,65.21739130434783,51.96921684019918,-11.206403659233848,1.1923817016797085,53.70370370370371,13.889468818038116,-0.2850217026043125,26.31578947368421,52.03829524397776,-9.549411162314389,0.0,-4.624681455038117,-8.328826392644672,-3.0534351145038165,0.0,27.14699260212287,7.653575025176234,2.001309267745254,0.9321575191319628,3.987782114372985,-0.9812199073545854,-10.36672140120416,132.81456953642385,-63.39869281045751,1.4901805980459883,0.0,48.683220466516175,2.699126753109288,-8.964502066466626,-6.179587989797499,7.295785426650389,-9.549411162314389,-1.2345679012345678,300.0,-31.402552483527067,-14.48603108801982,-33.63802559414991,0.0,3.9619651347068143,0.5779347121135693,0.0,5.467697876040627,53.054101221640494,-3.182255760511769,5.819379632171287,-46.15384615384615,4.299485481104737,-6.8181818181818175,1.145213328141514,70.0,-4.360858456444876,0.0,0.0,500.0,2.887067951617983,44.67697907188353,15.854488353834077,-3.263707571801567,4.014251781472685,-3.516416700445886,92.70833333333334,-11.365057980079872,0.6356130336316451,16.079521576425957,6.813176450749371,True,True,True,6621972.253104092,6.813176450749371
